inventory_id,product_id,supplier_id,warehouse_name,warehouse_location,stock_quantity,reorder_level,stock_status,last_restock_date,last_updated
32,FUR-BO-10003441,15,Furniture Warehouse,New York,76,55,In Stock,2026-06-15,2026-08-06 01:40:20.449387
33,FUR-BO-10003450,16,Furniture Warehouse,New York,202,59,In Stock,2026-07-05,2026-08-06 01:40:20.449387
34,FUR-BO-10003546,17,Furniture Warehouse,New York,412,57,In Stock,2026-07-04,2026-08-06 01:40:20.449387
35,FUR-BO-10003660,1,Furniture Warehouse,New York,445,46,In Stock,2026-07-25,2026-08-06 01:40:20.449387
36,FUR-BO-10003893,2,Furniture Warehouse,New York,329,33,In Stock,2026-06-29,2026-08-06 01:40:20.449387
37,FUR-BO-10003894,3,Furniture Warehouse,New York,207,64,In Stock,2026-07-26,2026-08-06 01:40:20.449387
38,FUR-BO-10003965,4,Furniture Warehouse,New York,436,34,In Stock,2026-06-25,2026-08-06 01:40:20.449387
39,FUR-BO-10003966,5,Furniture Warehouse,New York,252,48,In Stock,2026-07-15,2026-08-06 01:40:20.449387
40,FUR-BO-10004015,6,Furniture Warehouse,New York,468,22,In Stock,2026-06-10,2026-08-06 01:40:20.449387
41,FUR-BO-10004218,7,Furniture Warehouse,New York,462,27,In Stock,2026-06-30,2026-08-06 01:40:20.449387
42,FUR-BO-10004357,8,Furniture Warehouse,New York,369,72,In Stock,2026-07-02,2026-08-06 01:40:20.449387
43,FUR-BO-10004360,9,Furniture Warehouse,New York,267,29,In Stock,2026-07-10,2026-08-06 01:40:20.449387
44,FUR-BO-10004409,10,Furniture Warehouse,New York,474,72,In Stock,2026-06-26,2026-08-06 01:40:20.449387
45,FUR-BO-10004467,11,Furniture Warehouse,New York,120,60,In Stock,2026-06-27,2026-08-06 01:40:20.449387
46,FUR-BO-10004690,12,Furniture Warehouse,New York,292,62,In Stock,2026-06-09,2026-08-06 01:40:20.449387
47,FUR-BO-10004695,13,Furniture Warehouse,New York,365,66,In Stock,2026-07-16,2026-08-06 01:40:20.449387
48,FUR-BO-10004709,14,Furniture Warehouse,New York,371,29,In Stock,2026-08-06,2026-08-06 01:40:20.449387
49,FUR-BO-10004834,15,Furniture Warehouse,New York,361,78,In Stock,2026-07-07,2026-08-06 01:40:20.449387
50,FUR-CH-10000015,16,Furniture Warehouse,New York,339,69,In Stock,2026-07-03,2026-08-06 01:40:20.449387
51,FUR-CH-10000155,17,Furniture Warehouse,New York,96,71,In Stock,2026-06-28,2026-08-06 01:40:20.449387
52,FUR-CH-10000225,1,Furniture Warehouse,New York,299,73,In Stock,2026-07-31,2026-08-06 01:40:20.449387
53,FUR-CH-10000229,2,Furniture Warehouse,New York,242,35,In Stock,2026-07-06,2026-08-06 01:40:20.449387
54,FUR-CH-10000309,3,Furniture Warehouse,New York,259,34,In Stock,2026-06-15,2026-08-06 01:40:20.449387
55,FUR-CH-10000422,4,Furniture Warehouse,New York,107,20,In Stock,2026-07-22,2026-08-06 01:40:20.449387
56,FUR-CH-10000454,5,Furniture Warehouse,New York,213,77,In Stock,2026-07-22,2026-08-06 01:40:20.449387
57,FUR-CH-10000513,6,Furniture Warehouse,New York,51,69,Low Stock,2026-07-28,2026-08-06 01:40:20.449387
58,FUR-CH-10000553,7,Furniture Warehouse,New York,483,50,In Stock,2026-07-11,2026-08-06 01:40:20.449387
59,FUR-CH-10000595,8,Furniture Warehouse,New York,344,39,In Stock,2026-07-17,2026-08-06 01:40:20.449387
60,FUR-CH-10000665,9,Furniture Warehouse,New York,92,25,In Stock,2026-06-17,2026-08-06 01:40:20.449387
61,FUR-CH-10000749,10,Furniture Warehouse,New York,420,47,In Stock,2026-06-09,2026-08-06 01:40:20.449387
62,FUR-CH-10000785,11,Furniture Warehouse,New York,210,48,In Stock,2026-06-11,2026-08-06 01:40:20.449387
63,FUR-CH-10000847,12,Furniture Warehouse,New York,318,25,In Stock,2026-07-10,2026-08-06 01:40:20.449387
64,FUR-CH-10000863,13,Furniture Warehouse,New York,430,27,In Stock,2026-07-07,2026-08-06 01:40:20.449387
65,FUR-CH-10000988,14,Furniture Warehouse,New York,297,47,In Stock,2026-06-08,2026-08-06 01:40:20.449387
66,FUR-CH-10001146,15,Furniture Warehouse,New York,111,51,In Stock,2026-06-13,2026-08-06 01:40:20.449387
67,FUR-CH-10001190,16,Furniture Warehouse,New York,394,33,In Stock,2026-07-06,2026-08-06 01:40:20.449387
68,FUR-CH-10001215,17,Furniture Warehouse,New York,437,43,In Stock,2026-07-19,2026-08-06 01:40:20.449387
69,FUR-CH-10001270,1,Furniture Warehouse,New York,233,48,In Stock,2026-08-03,2026-08-06 01:40:20.449387
70,FUR-CH-10001394,2,Furniture Warehouse,New York,468,37,In Stock,2026-06-26,2026-08-06 01:40:20.449387
71,FUR-CH-10001482,3,Furniture Warehouse,New York,287,80,In Stock,2026-08-06,2026-08-06 01:40:20.449387
72,FUR-CH-10001545,4,Furniture Warehouse,New York,428,27,In Stock,2026-08-03,2026-08-06 01:40:20.449387
73,FUR-CH-10001708,5,Furniture Warehouse,New York,50,38,In Stock,2026-06-14,2026-08-06 01:40:20.449387
74,FUR-CH-10001714,6,Furniture Warehouse,New York,325,59,In Stock,2026-06-10,2026-08-06 01:40:20.449387
75,FUR-CH-10001797,7,Furniture Warehouse,New York,312,71,In Stock,2026-07-28,2026-08-06 01:40:20.449387
76,FUR-CH-10001802,8,Furniture Warehouse,New York,99,25,In Stock,2026-07-21,2026-08-06 01:40:20.449387
77,FUR-CH-10001854,9,Furniture Warehouse,New York,394,70,In Stock,2026-08-02,2026-08-06 01:40:20.449387
78,FUR-CH-10001891,10,Furniture Warehouse,New York,269,31,In Stock,2026-07-22,2026-08-06 01:40:20.449387
79,FUR-CH-10001973,11,Furniture Warehouse,New York,276,38,In Stock,2026-06-15,2026-08-06 01:40:20.449387
80,FUR-CH-10002017,12,Furniture Warehouse,New York,419,79,In Stock,2026-06-24,2026-08-06 01:40:20.449387
81,FUR-CH-10002024,13,Furniture Warehouse,New York,302,73,In Stock,2026-07-26,2026-08-06 01:40:20.449387
82,FUR-CH-10002044,14,Furniture Warehouse,New York,238,43,In Stock,2026-07-31,2026-08-06 01:40:20.449387
83,FUR-CH-10002073,15,Furniture Warehouse,New York,277,52,In Stock,2026-07-14,2026-08-06 01:40:20.449387
84,FUR-CH-10002084,16,Furniture Warehouse,New York,108,73,In Stock,2026-07-01,2026-08-06 01:40:20.449387
85,FUR-CH-10002126,17,Furniture Warehouse,New York,273,51,In Stock,2026-08-02,2026-08-06 01:40:20.449387
86,FUR-CH-10002304,1,Furniture Warehouse,New York,127,23,In Stock,2026-06-17,2026-08-06 01:40:20.449387
87,FUR-CH-10002317,2,Furniture Warehouse,New York,94,51,In Stock,2026-06-28,2026-08-06 01:40:20.449387
88,FUR-CH-10002320,3,Furniture Warehouse,New York,425,76,In Stock,2026-06-22,2026-08-06 01:40:20.449387
89,FUR-CH-10002331,4,Furniture Warehouse,New York,192,33,In Stock,2026-07-30,2026-08-06 01:40:20.449387
90,FUR-CH-10002335,5,Furniture Warehouse,New York,75,38,In Stock,2026-07-07,2026-08-06 01:40:20.449387
91,FUR-CH-10002372,6,Furniture Warehouse,New York,407,31,In Stock,2026-06-28,2026-08-06 01:40:20.449387
92,FUR-CH-10002439,7,Furniture Warehouse,New York,459,70,In Stock,2026-06-23,2026-08-06 01:40:20.449387
93,FUR-CH-10002602,8,Furniture Warehouse,New York,282,73,In Stock,2026-06-30,2026-08-06 01:40:20.449387
94,FUR-CH-10002647,9,Furniture Warehouse,New York,330,54,In Stock,2026-06-30,2026-08-06 01:40:20.449387
95,FUR-CH-10002758,10,Furniture Warehouse,New York,89,35,In Stock,2026-07-31,2026-08-06 01:40:20.449387
96,FUR-CH-10002774,11,Furniture Warehouse,New York,242,28,In Stock,2026-06-27,2026-08-06 01:40:20.449387
97,FUR-CH-10002780,12,Furniture Warehouse,New York,299,40,In Stock,2026-07-18,2026-08-06 01:40:20.449387
98,FUR-CH-10002880,13,Furniture Warehouse,New York,391,23,In Stock,2026-06-14,2026-08-06 01:40:20.449387
99,FUR-CH-10002961,14,Furniture Warehouse,New York,280,71,In Stock,2026-06-20,2026-08-06 01:40:20.449387
100,FUR-CH-10002965,15,Furniture Warehouse,New York,248,22,In Stock,2026-06-28,2026-08-06 01:40:20.449387
101,FUR-CH-10003061,16,Furniture Warehouse,New York,213,37,In Stock,2026-06-11,2026-08-06 01:40:20.449387
102,FUR-CH-10003199,17,Furniture Warehouse,New York,322,40,In Stock,2026-06-22,2026-08-06 01:40:20.449387
103,FUR-CH-10003298,1,Furniture Warehouse,New York,249,80,In Stock,2026-07-01,2026-08-06 01:40:20.449387
104,FUR-CH-10003312,2,Furniture Warehouse,New York,193,69,In Stock,2026-07-25,2026-08-06 01:40:20.449387
105,FUR-CH-10003379,3,Furniture Warehouse,New York,121,58,In Stock,2026-07-15,2026-08-06 01:40:20.449387
106,FUR-CH-10003396,4,Furniture Warehouse,New York,179,36,In Stock,2026-06-16,2026-08-06 01:40:20.449387
107,FUR-CH-10003535,5,Furniture Warehouse,New York,146,77,In Stock,2026-07-19,2026-08-06 01:40:20.449387
108,FUR-CH-10003606,6,Furniture Warehouse,New York,498,60,In Stock,2026-07-02,2026-08-06 01:40:20.449387
109,FUR-CH-10003746,7,Furniture Warehouse,New York,204,34,In Stock,2026-06-16,2026-08-06 01:40:20.449387
110,FUR-CH-10003761,8,Furniture Warehouse,New York,428,32,In Stock,2026-07-18,2026-08-06 01:40:20.449387
111,FUR-CH-10003774,9,Furniture Warehouse,New York,456,77,In Stock,2026-07-17,2026-08-06 01:40:20.449387
112,FUR-CH-10003817,10,Furniture Warehouse,New York,487,49,In Stock,2026-07-16,2026-08-06 01:40:20.449387
113,FUR-CH-10003833,11,Furniture Warehouse,New York,84,25,In Stock,2026-07-23,2026-08-06 01:40:20.449387
114,FUR-CH-10003846,12,Furniture Warehouse,New York,339,66,In Stock,2026-07-09,2026-08-06 01:40:20.449387
115,FUR-CH-10003956,13,Furniture Warehouse,New York,83,46,In Stock,2026-06-29,2026-08-06 01:40:20.449387
116,FUR-CH-10003968,14,Furniture Warehouse,New York,72,36,In Stock,2026-07-13,2026-08-06 01:40:20.449387
117,FUR-CH-10003973,15,Furniture Warehouse,New York,435,23,In Stock,2026-07-30,2026-08-06 01:40:20.449387
118,FUR-CH-10003981,16,Furniture Warehouse,New York,364,79,In Stock,2026-06-08,2026-08-06 01:40:20.449387
119,FUR-CH-10004063,17,Furniture Warehouse,New York,208,75,In Stock,2026-07-19,2026-08-06 01:40:20.449387
120,FUR-CH-10004086,1,Furniture Warehouse,New York,393,56,In Stock,2026-08-04,2026-08-06 01:40:20.449387
121,FUR-CH-10004218,2,Furniture Warehouse,New York,477,74,In Stock,2026-07-28,2026-08-06 01:40:20.449387
122,FUR-CH-10004287,3,Furniture Warehouse,New York,487,50,In Stock,2026-07-08,2026-08-06 01:40:20.449387
123,FUR-CH-10004289,4,Furniture Warehouse,New York,455,35,In Stock,2026-06-14,2026-08-06 01:40:20.449387
124,FUR-CH-10004477,5,Furniture Warehouse,New York,427,43,In Stock,2026-07-16,2026-08-06 01:40:20.449387
125,FUR-CH-10004495,6,Furniture Warehouse,New York,291,45,In Stock,2026-07-14,2026-08-06 01:40:20.449387
126,FUR-CH-10004540,7,Furniture Warehouse,New York,262,71,In Stock,2026-06-16,2026-08-06 01:40:20.449387
127,FUR-CH-10004626,8,Furniture Warehouse,New York,441,63,In Stock,2026-07-18,2026-08-06 01:40:20.449387
128,FUR-CH-10004675,9,Furniture Warehouse,New York,52,25,In Stock,2026-08-03,2026-08-06 01:40:20.449387
129,FUR-CH-10004698,10,Furniture Warehouse,New York,438,40,In Stock,2026-07-21,2026-08-06 01:40:20.449387
130,FUR-CH-10004754,11,Furniture Warehouse,New York,342,24,In Stock,2026-07-23,2026-08-06 01:40:20.449387
131,FUR-CH-10004853,12,Furniture Warehouse,New York,249,52,In Stock,2026-06-16,2026-08-06 01:40:20.449387
132,FUR-CH-10004860,13,Furniture Warehouse,New York,291,28,In Stock,2026-06-22,2026-08-06 01:40:20.449387
133,FUR-CH-10004875,14,Furniture Warehouse,New York,316,46,In Stock,2026-06-12,2026-08-06 01:40:20.449387
134,FUR-CH-10004886,15,Furniture Warehouse,New York,298,47,In Stock,2026-07-07,2026-08-06 01:40:20.449387
135,FUR-CH-10004983,16,Furniture Warehouse,New York,187,39,In Stock,2026-07-10,2026-08-06 01:40:20.449387
136,FUR-CH-10004997,17,Furniture Warehouse,New York,314,65,In Stock,2026-07-31,2026-08-06 01:40:20.449387
137,FUR-FU-10000010,1,Furniture Warehouse,New York,90,34,In Stock,2026-06-17,2026-08-06 01:40:20.449387
138,FUR-FU-10000023,2,Furniture Warehouse,New York,210,38,In Stock,2026-07-29,2026-08-06 01:40:20.449387
139,FUR-FU-10000073,3,Furniture Warehouse,New York,61,26,In Stock,2026-07-29,2026-08-06 01:40:20.449387
140,FUR-FU-10000076,4,Furniture Warehouse,New York,378,77,In Stock,2026-07-22,2026-08-06 01:40:20.449387
141,FUR-FU-10000087,5,Furniture Warehouse,New York,76,63,In Stock,2026-06-28,2026-08-06 01:40:20.449387
142,FUR-FU-10000175,6,Furniture Warehouse,New York,486,50,In Stock,2026-07-16,2026-08-06 01:40:20.449387
143,FUR-FU-10000193,7,Furniture Warehouse,New York,347,49,In Stock,2026-07-22,2026-08-06 01:40:20.449387
144,FUR-FU-10000206,8,Furniture Warehouse,New York,155,23,In Stock,2026-07-19,2026-08-06 01:40:20.449387
145,FUR-FU-10000221,9,Furniture Warehouse,New York,459,26,In Stock,2026-07-25,2026-08-06 01:40:20.449387
146,FUR-FU-10000222,10,Furniture Warehouse,New York,303,72,In Stock,2026-07-26,2026-08-06 01:40:20.449387
147,FUR-FU-10000246,11,Furniture Warehouse,New York,489,70,In Stock,2026-07-29,2026-08-06 01:40:20.449387
148,FUR-FU-10000260,12,Furniture Warehouse,New York,77,56,In Stock,2026-06-23,2026-08-06 01:40:20.449387
149,FUR-FU-10000277,13,Furniture Warehouse,New York,102,32,In Stock,2026-07-25,2026-08-06 01:40:20.449387
150,FUR-FU-10000293,14,Furniture Warehouse,New York,307,72,In Stock,2026-07-17,2026-08-06 01:40:20.449387
151,FUR-FU-10000305,15,Furniture Warehouse,New York,447,41,In Stock,2026-07-01,2026-08-06 01:40:20.449387
152,FUR-FU-10000308,16,Furniture Warehouse,New York,76,76,Low Stock,2026-07-12,2026-08-06 01:40:20.449387
153,FUR-FU-10000320,17,Furniture Warehouse,New York,196,64,In Stock,2026-07-03,2026-08-06 01:40:20.449387
154,FUR-FU-10000397,1,Furniture Warehouse,New York,239,72,In Stock,2026-07-12,2026-08-06 01:40:20.449387
155,FUR-FU-10000409,2,Furniture Warehouse,New York,352,39,In Stock,2026-07-27,2026-08-06 01:40:20.449387
156,FUR-FU-10000448,3,Furniture Warehouse,New York,193,68,In Stock,2026-07-01,2026-08-06 01:40:20.449387
157,FUR-FU-10000521,4,Furniture Warehouse,New York,162,79,In Stock,2026-06-16,2026-08-06 01:40:20.449387
158,FUR-FU-10000550,5,Furniture Warehouse,New York,87,25,In Stock,2026-07-24,2026-08-06 01:40:20.449387
159,FUR-FU-10000576,6,Furniture Warehouse,New York,382,80,In Stock,2026-07-24,2026-08-06 01:40:20.449387
160,FUR-FU-10000629,7,Furniture Warehouse,New York,172,51,In Stock,2026-07-28,2026-08-06 01:40:20.449387
161,FUR-FU-10000672,8,Furniture Warehouse,New York,232,41,In Stock,2026-07-10,2026-08-06 01:40:20.449387
162,FUR-FU-10000719,9,Furniture Warehouse,New York,389,28,In Stock,2026-07-22,2026-08-06 01:40:20.449387
163,FUR-FU-10000723,10,Furniture Warehouse,New York,55,23,In Stock,2026-07-17,2026-08-06 01:40:20.449387
164,FUR-FU-10000732,11,Furniture Warehouse,New York,469,50,In Stock,2026-07-03,2026-08-06 01:40:20.449387
165,FUR-FU-10000747,12,Furniture Warehouse,New York,394,67,In Stock,2026-06-18,2026-08-06 01:40:20.449387
166,FUR-FU-10000755,13,Furniture Warehouse,New York,459,65,In Stock,2026-07-03,2026-08-06 01:40:20.449387
167,FUR-FU-10000758,14,Furniture Warehouse,New York,158,54,In Stock,2026-06-09,2026-08-06 01:40:20.449387
168,FUR-FU-10000771,15,Furniture Warehouse,New York,240,71,In Stock,2026-07-02,2026-08-06 01:40:20.449387
169,FUR-FU-10000794,16,Furniture Warehouse,New York,319,43,In Stock,2026-06-23,2026-08-06 01:40:20.449387
170,FUR-FU-10000820,17,Furniture Warehouse,New York,465,25,In Stock,2026-06-22,2026-08-06 01:40:20.449387
171,FUR-FU-10000965,1,Furniture Warehouse,New York,93,20,In Stock,2026-06-29,2026-08-06 01:40:20.449387
172,FUR-FU-10001025,2,Furniture Warehouse,New York,157,39,In Stock,2026-07-10,2026-08-06 01:40:20.449387
173,FUR-FU-10001037,3,Furniture Warehouse,New York,498,50,In Stock,2026-07-12,2026-08-06 01:40:20.449387
174,FUR-FU-10001057,4,Furniture Warehouse,New York,398,21,In Stock,2026-07-24,2026-08-06 01:40:20.449387
175,FUR-FU-10001085,5,Furniture Warehouse,New York,469,47,In Stock,2026-06-10,2026-08-06 01:40:20.449387
176,FUR-FU-10001095,6,Furniture Warehouse,New York,163,48,In Stock,2026-07-18,2026-08-06 01:40:20.449387
177,FUR-FU-10001185,7,Furniture Warehouse,New York,328,20,In Stock,2026-08-06,2026-08-06 01:40:20.449387
178,FUR-FU-10001196,8,Furniture Warehouse,New York,190,52,In Stock,2026-06-27,2026-08-06 01:40:20.449387
179,FUR-FU-10001215,9,Furniture Warehouse,New York,346,37,In Stock,2026-08-02,2026-08-06 01:40:20.449387
180,FUR-FU-10001290,10,Furniture Warehouse,New York,70,52,In Stock,2026-08-05,2026-08-06 01:40:20.449387
181,FUR-FU-10001379,11,Furniture Warehouse,New York,323,54,In Stock,2026-08-06,2026-08-06 01:40:20.449387
182,FUR-FU-10001424,12,Furniture Warehouse,New York,179,28,In Stock,2026-06-10,2026-08-06 01:40:20.449387
183,FUR-FU-10001468,13,Furniture Warehouse,New York,113,69,In Stock,2026-07-07,2026-08-06 01:40:20.449387
184,FUR-FU-10001473,14,Furniture Warehouse,New York,387,55,In Stock,2026-06-14,2026-08-06 01:40:20.449387
185,FUR-FU-10001475,15,Furniture Warehouse,New York,354,44,In Stock,2026-06-16,2026-08-06 01:40:20.449387
186,FUR-FU-10001487,16,Furniture Warehouse,New York,214,33,In Stock,2026-08-03,2026-08-06 01:40:20.449387
187,FUR-FU-10001488,17,Furniture Warehouse,New York,236,44,In Stock,2026-07-07,2026-08-06 01:40:20.449387
188,FUR-FU-10001546,1,Furniture Warehouse,New York,147,37,In Stock,2026-07-10,2026-08-06 01:40:20.449387
189,FUR-FU-10001588,2,Furniture Warehouse,New York,374,72,In Stock,2026-06-30,2026-08-06 01:40:20.449387
190,FUR-FU-10001591,3,Furniture Warehouse,New York,196,76,In Stock,2026-07-03,2026-08-06 01:40:20.449387
191,FUR-FU-10001602,4,Furniture Warehouse,New York,110,62,In Stock,2026-07-31,2026-08-06 01:40:20.449387
192,FUR-FU-10001617,5,Furniture Warehouse,New York,494,55,In Stock,2026-07-10,2026-08-06 01:40:20.449387
193,FUR-FU-10001706,6,Furniture Warehouse,New York,294,58,In Stock,2026-07-11,2026-08-06 01:40:20.449387
194,FUR-FU-10001731,7,Furniture Warehouse,New York,308,37,In Stock,2026-06-25,2026-08-06 01:40:20.449387
195,FUR-FU-10001756,8,Furniture Warehouse,New York,292,29,In Stock,2026-06-21,2026-08-06 01:40:20.449387
196,FUR-FU-10001847,9,Furniture Warehouse,New York,103,59,In Stock,2026-07-15,2026-08-06 01:40:20.449387
197,FUR-FU-10001852,10,Furniture Warehouse,New York,293,24,In Stock,2026-06-29,2026-08-06 01:40:20.449387
198,FUR-FU-10001861,11,Furniture Warehouse,New York,242,64,In Stock,2026-06-25,2026-08-06 01:40:20.449387
199,FUR-FU-10001867,12,Furniture Warehouse,New York,173,50,In Stock,2026-06-19,2026-08-06 01:40:20.449387
200,FUR-FU-10001876,13,Furniture Warehouse,New York,158,23,In Stock,2026-07-04,2026-08-06 01:40:20.449387
201,FUR-FU-10001889,14,Furniture Warehouse,New York,423,59,In Stock,2026-06-11,2026-08-06 01:40:20.449387
202,FUR-FU-10001918,15,Furniture Warehouse,New York,368,44,In Stock,2026-06-21,2026-08-06 01:40:20.449387
203,FUR-FU-10001934,16,Furniture Warehouse,New York,173,80,In Stock,2026-06-24,2026-08-06 01:40:20.449387
204,FUR-FU-10001935,17,Furniture Warehouse,New York,405,61,In Stock,2026-07-19,2026-08-06 01:40:20.449387
205,FUR-FU-10001940,1,Furniture Warehouse,New York,161,45,In Stock,2026-07-06,2026-08-06 01:40:20.449387
206,FUR-FU-10001967,2,Furniture Warehouse,New York,181,72,In Stock,2026-07-12,2026-08-06 01:40:20.449387
207,FUR-FU-10001979,3,Furniture Warehouse,New York,225,61,In Stock,2026-07-17,2026-08-06 01:40:20.449387
208,FUR-FU-10001986,4,Furniture Warehouse,New York,133,71,In Stock,2026-06-10,2026-08-06 01:40:20.449387
209,FUR-FU-10002030,5,Furniture Warehouse,New York,499,69,In Stock,2026-06-28,2026-08-06 01:40:20.449387
210,FUR-FU-10002045,6,Furniture Warehouse,New York,223,75,In Stock,2026-07-03,2026-08-06 01:40:20.449387
211,FUR-FU-10002088,7,Furniture Warehouse,New York,353,54,In Stock,2026-06-12,2026-08-06 01:40:20.449387
212,FUR-FU-10002107,8,Furniture Warehouse,New York,207,79,In Stock,2026-08-02,2026-08-06 01:40:20.449387
213,FUR-FU-10002111,9,Furniture Warehouse,New York,187,36,In Stock,2026-07-30,2026-08-06 01:40:20.449387
214,FUR-FU-10002116,10,Furniture Warehouse,New York,312,39,In Stock,2026-08-02,2026-08-06 01:40:20.449387
215,FUR-FU-10002157,11,Furniture Warehouse,New York,194,24,In Stock,2026-07-16,2026-08-06 01:40:20.449387
216,FUR-FU-10002191,12,Furniture Warehouse,New York,469,28,In Stock,2026-07-19,2026-08-06 01:40:20.449387
217,FUR-FU-10002240,13,Furniture Warehouse,New York,248,53,In Stock,2026-07-26,2026-08-06 01:40:20.449387
218,FUR-FU-10002253,14,Furniture Warehouse,New York,129,24,In Stock,2026-07-07,2026-08-06 01:40:20.449387
219,FUR-FU-10002268,15,Furniture Warehouse,New York,426,53,In Stock,2026-07-04,2026-08-06 01:40:20.449387
220,FUR-FU-10002298,16,Furniture Warehouse,New York,51,55,Low Stock,2026-06-20,2026-08-06 01:40:20.449387
221,FUR-FU-10002364,17,Furniture Warehouse,New York,175,47,In Stock,2026-07-22,2026-08-06 01:40:20.449387
222,FUR-FU-10002379,1,Furniture Warehouse,New York,498,61,In Stock,2026-07-12,2026-08-06 01:40:20.449387
223,FUR-FU-10002396,2,Furniture Warehouse,New York,424,70,In Stock,2026-07-17,2026-08-06 01:40:20.449387
224,FUR-FU-10002445,3,Furniture Warehouse,New York,403,44,In Stock,2026-07-20,2026-08-06 01:40:20.449387
225,FUR-FU-10002456,4,Furniture Warehouse,New York,238,60,In Stock,2026-07-05,2026-08-06 01:40:20.449387
226,FUR-FU-10002501,5,Furniture Warehouse,New York,474,43,In Stock,2026-07-05,2026-08-06 01:40:20.449387
227,FUR-FU-10002505,6,Furniture Warehouse,New York,350,51,In Stock,2026-06-19,2026-08-06 01:40:20.449387
228,FUR-FU-10002506,7,Furniture Warehouse,New York,336,71,In Stock,2026-06-29,2026-08-06 01:40:20.449387
229,FUR-FU-10002508,8,Furniture Warehouse,New York,309,67,In Stock,2026-07-13,2026-08-06 01:40:20.449387
230,FUR-FU-10002553,9,Furniture Warehouse,New York,496,56,In Stock,2026-06-15,2026-08-06 01:40:20.449387
231,FUR-FU-10002554,10,Furniture Warehouse,New York,122,21,In Stock,2026-07-06,2026-08-06 01:40:20.449387
