transport_id,order_row_id,carrier_name,tracking_number,shipment_status,dispatch_date,estimated_delivery_date,actual_delivery_date,delivery_cost,created_at,delivery_days,transportation_efficiency
23,23,Dhl,TRK-00000023,Delivered,2017-12-10,2017-12-13,2017-12-13,39.78,2026-08-06 01:41:13.679294,3.0,Fast
24,24,Xpressbees,TRK-00000024,Delivered,2018-07-17,2018-07-22,2018-07-22,33.54,2026-08-06 01:41:13.679294,5.0,Normal
25,25,Dhl,TRK-00000025,In Transit,2016-09-25,2016-09-30,,14.84,2026-08-06 01:41:13.679294,,Delayed
26,26,Ups,TRK-00000026,Delivered,2017-01-16,2017-01-21,2017-01-21,29.75,2026-08-06 01:41:13.679294,5.0,Normal
27,27,Blue Dart,TRK-00000027,Delivered,2017-01-16,2017-01-19,2017-01-19,13.35,2026-08-06 01:41:13.679294,3.0,Fast
28,28,Blue Dart,TRK-00000028,Delivered,2016-09-19,2016-09-24,2016-09-24,45.97,2026-08-06 01:41:13.679294,5.0,Normal
29,29,Dhl,TRK-00000029,Delivered,2016-09-17,2016-09-20,2016-09-20,28.92,2026-08-06 01:41:13.679294,3.0,Fast
30,30,Xpressbees,TRK-00000030,Delivered,2016-09-19,2016-09-23,2016-09-23,20.36,2026-08-06 01:41:13.679294,4.0,Normal
31,31,Fedex,TRK-00000031,Delivered,2016-09-18,2016-09-21,2016-09-21,42.36,2026-08-06 01:41:13.679294,3.0,Fast
32,32,Ups,TRK-00000032,Delivered,2016-09-19,2016-09-24,2016-09-24,17.6,2026-08-06 01:41:13.679294,5.0,Normal
33,33,Dhl,TRK-00000033,Delivered,2016-09-18,2016-09-22,2016-09-22,26.8,2026-08-06 01:41:13.679294,4.0,Normal
34,34,Ups,TRK-00000034,Delivered,2016-09-19,2016-09-24,2016-09-26,43.33,2026-08-06 01:41:13.679294,7.0,Delayed
35,35,Fedex,TRK-00000035,In Transit,2018-10-19,2018-10-22,,47.2,2026-08-06 01:41:13.679294,,Delayed
36,36,Ups,TRK-00000036,Delivered,2017-12-10,2017-12-13,2017-12-13,31.01,2026-08-06 01:41:13.679294,3.0,Fast
37,37,Dhl,TRK-00000037,Delivered,2017-12-09,2017-12-14,2017-12-14,10.51,2026-08-06 01:41:13.679294,5.0,Normal
38,38,Fedex,TRK-00000038,Delivered,2016-12-28,2017-01-02,2017-01-02,18.81,2026-08-06 01:41:13.679294,5.0,Normal
39,39,Dhl,TRK-00000039,Delivered,2016-12-28,2017-01-01,2017-01-01,46.09,2026-08-06 01:41:13.679294,4.0,Normal
40,40,Fedex,TRK-00000040,Delivered,2016-12-28,2017-01-02,2017-01-02,19.06,2026-08-06 01:41:13.679294,5.0,Normal
41,41,Delhivery,TRK-00000041,Delivered,2016-12-28,2016-12-31,2016-12-31,46.52,2026-08-06 01:41:13.679294,3.0,Fast
42,42,Dhl,TRK-00000042,Delivered,2018-09-11,2018-09-15,2018-09-15,34.22,2026-08-06 01:41:13.679294,4.0,Normal
43,43,Ups,TRK-00000043,Delivered,2017-07-19,2017-07-24,2017-07-24,16.43,2026-08-06 01:41:13.679294,5.0,Normal
44,44,Fedex,TRK-00000044,Delivered,2018-09-19,2018-09-23,2018-09-23,27.47,2026-08-06 01:41:13.679294,4.0,Normal
45,45,Blue Dart,TRK-00000045,Delivered,2017-03-12,2017-03-16,2017-03-16,18.31,2026-08-06 01:41:13.679294,4.0,Normal
46,46,Blue Dart,TRK-00000046,Delivered,2017-03-13,2017-03-18,2017-03-19,33.49,2026-08-06 01:41:13.679294,6.0,Normal
47,47,Fedex,TRK-00000047,Delivered,2015-10-21,2015-10-25,2015-10-25,28.64,2026-08-06 01:41:13.679294,4.0,Normal
48,48,Ups,TRK-00000048,Delivered,2017-06-20,2017-06-25,2017-06-25,33.3,2026-08-06 01:41:13.679294,5.0,Normal
49,49,Dhl,TRK-00000049,Delivered,2017-06-21,2017-06-26,2017-06-26,13.12,2026-08-06 01:41:13.679294,5.0,Normal
50,50,Delhivery,TRK-00000050,Delivered,2016-04-19,2016-04-24,2016-04-24,26.01,2026-08-06 01:41:13.679294,5.0,Normal
51,51,Ups,TRK-00000051,Delivered,2016-04-18,2016-04-23,2016-04-23,29.86,2026-08-06 01:41:13.679294,5.0,Normal
52,52,Xpressbees,TRK-00000052,Delivered,2016-04-18,2016-04-21,2016-04-21,30.0,2026-08-06 01:41:13.679294,3.0,Fast
53,53,Fedex,TRK-00000053,Delivered,2016-04-20,2016-04-24,2016-04-24,15.51,2026-08-06 01:41:13.679294,4.0,Normal
54,54,Ups,TRK-00000054,Delivered,2017-12-13,2017-12-18,2017-12-18,37.2,2026-08-06 01:41:13.679294,5.0,Normal
55,55,Ups,TRK-00000055,Delivered,2017-12-11,2017-12-16,2017-12-16,34.95,2026-08-06 01:41:13.679294,5.0,Normal
56,56,Xpressbees,TRK-00000056,Delivered,2017-06-19,2017-06-23,2017-06-24,38.15,2026-08-06 01:41:13.679294,5.0,Normal
57,57,Dhl,TRK-00000057,Delivered,2017-06-18,2017-06-21,2017-06-21,16.8,2026-08-06 01:41:13.679294,3.0,Fast
58,58,Dhl,TRK-00000058,Delivered,2017-06-19,2017-06-22,2017-06-22,46.74,2026-08-06 01:41:13.679294,3.0,Fast
59,59,Fedex,TRK-00000059,Delivered,2017-06-19,2017-06-22,2017-06-22,16.12,2026-08-06 01:41:13.679294,3.0,Fast
60,60,Blue Dart,TRK-00000060,In Transit,2017-06-19,2017-06-22,,30.63,2026-08-06 01:41:13.679294,,Delayed
61,61,Ups,TRK-00000061,Delivered,2017-06-17,2017-06-21,2017-06-22,36.27,2026-08-06 01:41:13.679294,5.0,Normal
62,62,Xpressbees,TRK-00000062,Delivered,2017-06-19,2017-06-22,2017-06-23,41.64,2026-08-06 01:41:13.679294,4.0,Normal
63,63,Blue Dart,TRK-00000063,Delivered,2016-11-24,2016-11-27,2016-11-28,45.66,2026-08-06 01:41:13.679294,4.0,Normal
64,64,Fedex,TRK-00000064,Delivered,2016-11-25,2016-11-30,2016-11-30,44.11,2026-08-06 01:41:13.679294,5.0,Normal
65,65,Fedex,TRK-00000065,Delivered,2016-11-26,2016-11-30,2016-12-01,17.95,2026-08-06 01:41:13.679294,5.0,Normal
66,66,Xpressbees,TRK-00000066,Delivered,2016-11-25,2016-11-29,2016-11-29,12.09,2026-08-06 01:41:13.679294,4.0,Normal
67,67,Blue Dart,TRK-00000067,Delivered,2016-05-02,2016-05-07,2016-05-07,34.72,2026-08-06 01:41:13.679294,5.0,Normal
68,68,Delhivery,TRK-00000068,Delivered,2015-12-05,2015-12-10,2015-12-10,18.47,2026-08-06 01:41:13.679294,5.0,Normal
69,69,Dhl,TRK-00000069,In Transit,2015-12-07,2015-12-11,,27.18,2026-08-06 01:41:13.679294,,Delayed
70,70,Fedex,TRK-00000070,Delivered,2017-06-06,2017-06-09,2017-06-09,41.49,2026-08-06 01:41:13.679294,3.0,Fast
71,71,Ups,TRK-00000071,Delivered,2017-09-18,2017-09-21,2017-09-21,38.59,2026-08-06 01:41:13.679294,3.0,Fast
72,72,Dhl,TRK-00000072,Delivered,2018-09-16,2018-09-20,2018-09-20,28.48,2026-08-06 01:41:13.679294,4.0,Normal
73,73,Ups,TRK-00000073,Delivered,2016-04-27,2016-05-02,2016-05-02,16.83,2026-08-06 01:41:13.679294,5.0,Normal
74,74,Fedex,TRK-00000074,Delivered,2016-04-27,2016-05-02,2016-05-02,41.92,2026-08-06 01:41:13.679294,5.0,Normal
75,75,Xpressbees,TRK-00000075,Delivered,2016-04-27,2016-05-02,2016-05-02,26.25,2026-08-06 01:41:13.679294,5.0,Normal
76,76,Delhivery,TRK-00000076,In Transit,2018-12-10,2018-12-15,,43.09,2026-08-06 01:41:13.679294,,Delayed
77,77,Xpressbees,TRK-00000077,Delivered,2018-12-10,2018-12-13,2018-12-13,37.82,2026-08-06 01:41:13.679294,3.0,Fast
78,78,Ups,TRK-00000078,Delivered,2018-12-09,2018-12-14,2018-12-14,28.83,2026-08-06 01:41:13.679294,5.0,Normal
79,79,Ups,TRK-00000079,Delivered,2015-11-28,2015-12-02,2015-12-02,46.13,2026-08-06 01:41:13.679294,4.0,Normal
80,80,Delhivery,TRK-00000080,In Transit,2017-06-12,2017-06-17,,10.81,2026-08-06 01:41:13.679294,,Delayed
81,81,Fedex,TRK-00000081,Delivered,2017-06-12,2017-06-15,2017-06-16,20.83,2026-08-06 01:41:13.679294,4.0,Normal
82,82,Dhl,TRK-00000082,Delivered,2015-10-14,2015-10-17,2015-10-17,30.3,2026-08-06 01:41:13.679294,3.0,Fast
83,83,Delhivery,TRK-00000083,Delivered,2015-10-12,2015-10-17,2015-10-17,30.54,2026-08-06 01:41:13.679294,5.0,Normal
84,84,Fedex,TRK-00000084,Delivered,2016-09-03,2016-09-06,2016-09-06,17.4,2026-08-06 01:41:13.679294,3.0,Fast
85,85,Fedex,TRK-00000085,Delivered,2018-11-13,2018-11-18,2018-11-18,40.9,2026-08-06 01:41:13.679294,5.0,Normal
86,86,Dhl,TRK-00000086,Delivered,2018-05-29,2018-06-02,2018-06-02,33.83,2026-08-06 01:41:13.679294,4.0,Normal
87,87,Fedex,TRK-00000087,Delivered,2018-10-27,2018-11-01,2018-11-01,27.26,2026-08-06 01:41:13.679294,5.0,Normal
88,88,Dhl,TRK-00000088,Delivered,2018-10-26,2018-10-30,2018-10-30,33.13,2026-08-06 01:41:13.679294,4.0,Normal
89,89,Dhl,TRK-00000089,Delivered,2017-04-06,2017-04-09,2017-04-09,30.57,2026-08-06 01:41:13.679294,3.0,Fast
90,90,Delhivery,TRK-00000090,In Transit,2017-09-18,2017-09-22,,35.77,2026-08-06 01:41:13.679294,,Delayed
91,91,Dhl,TRK-00000091,Delivered,2017-09-19,2017-09-22,2017-09-22,17.39,2026-08-06 01:41:13.679294,3.0,Fast
92,92,Dhl,TRK-00000092,Delivered,2017-09-19,2017-09-22,2017-09-22,45.11,2026-08-06 01:41:13.679294,3.0,Fast
93,93,Dhl,TRK-00000093,Delivered,2016-02-01,2016-02-04,2016-02-05,30.5,2026-08-06 01:41:13.679294,4.0,Normal
94,94,Blue Dart,TRK-00000094,Delivered,2016-01-31,2016-02-03,2016-02-03,40.36,2026-08-06 01:41:13.679294,3.0,Fast
95,95,Blue Dart,TRK-00000095,Delivered,2016-01-31,2016-02-04,2016-02-05,33.53,2026-08-06 01:41:13.679294,5.0,Normal
96,96,Dhl,TRK-00000096,In Transit,2018-11-07,2018-11-11,,43.51,2026-08-06 01:41:13.679294,,Delayed
97,97,Ups,TRK-00000097,Delivered,2018-11-09,2018-11-14,2018-11-14,10.56,2026-08-06 01:41:13.679294,5.0,Normal
98,98,Xpressbees,TRK-00000098,Delivered,2018-06-19,2018-06-24,2018-06-24,25.03,2026-08-06 01:41:13.679294,5.0,Normal
99,99,Dhl,TRK-00000099,Delivered,2017-09-07,2017-09-11,2017-09-11,20.66,2026-08-06 01:41:13.679294,4.0,Normal
100,100,Ups,TRK-00000100,Delivered,2017-08-31,2017-09-04,2017-09-04,10.22,2026-08-06 01:41:13.679294,4.0,Normal
101,101,Fedex,TRK-00000101,Delivered,2017-08-31,2017-09-05,2017-09-05,25.02,2026-08-06 01:41:13.679294,5.0,Normal
102,102,Delhivery,TRK-00000102,Delivered,2017-08-31,2017-09-05,2017-09-05,36.55,2026-08-06 01:41:13.679294,5.0,Normal
103,103,Fedex,TRK-00000103,Delivered,2017-12-03,2017-12-08,2017-12-08,38.62,2026-08-06 01:41:13.679294,5.0,Normal
104,104,Ups,TRK-00000104,In Transit,2016-11-13,2016-11-17,,20.89,2026-08-06 01:41:13.679294,,Delayed
105,105,Ups,TRK-00000105,Delivered,2016-11-15,2016-11-20,2016-11-20,30.76,2026-08-06 01:41:13.679294,5.0,Normal
106,106,Dhl,TRK-00000106,In Transit,2016-11-15,2016-11-19,,47.1,2026-08-06 01:41:13.679294,,Delayed
107,107,Blue Dart,TRK-00000107,Delivered,2018-11-24,2018-11-28,2018-11-28,33.22,2026-08-06 01:41:13.679294,4.0,Normal
108,108,Ups,TRK-00000108,Delivered,2018-11-25,2018-11-28,2018-11-28,24.1,2026-08-06 01:41:13.679294,3.0,Fast
109,109,Delhivery,TRK-00000109,Delivered,2018-11-24,2018-11-27,2018-11-28,42.91,2026-08-06 01:41:13.679294,4.0,Normal
110,110,Ups,TRK-00000110,Delivered,2016-10-15,2016-10-18,2016-10-18,28.09,2026-08-06 01:41:13.679294,3.0,Fast
111,111,Dhl,TRK-00000111,Delivered,2018-12-27,2018-12-31,2018-12-31,35.92,2026-08-06 01:41:13.679294,4.0,Normal
112,112,Fedex,TRK-00000112,Delivered,2017-11-03,2017-11-06,2017-11-06,43.67,2026-08-06 01:41:13.679294,3.0,Fast
113,113,Dhl,TRK-00000113,Delivered,2017-11-04,2017-11-07,2017-11-07,22.73,2026-08-06 01:41:13.679294,3.0,Fast
114,114,Blue Dart,TRK-00000114,Delivered,2015-08-27,2015-09-01,2015-09-01,47.08,2026-08-06 01:41:13.679294,5.0,Normal
115,115,Blue Dart,TRK-00000115,Delivered,2015-08-25,2015-08-30,2015-08-30,18.79,2026-08-06 01:41:13.679294,5.0,Normal
116,116,Delhivery,TRK-00000116,Delivered,2015-08-27,2015-08-31,2015-08-31,13.96,2026-08-06 01:41:13.679294,4.0,Normal
117,117,Dhl,TRK-00000117,Delivered,2015-08-27,2015-08-30,2015-08-30,13.81,2026-08-06 01:41:13.679294,3.0,Fast
118,118,Xpressbees,TRK-00000118,Delivered,2016-03-03,2016-03-06,2016-03-06,38.62,2026-08-06 01:41:13.679294,3.0,Fast
119,119,Blue Dart,TRK-00000119,Delivered,2016-04-06,2016-04-09,2016-04-09,15.03,2026-08-06 01:41:13.679294,3.0,Fast
120,120,Delhivery,TRK-00000120,Delivered,2017-06-12,2017-06-15,2017-06-16,13.89,2026-08-06 01:41:13.679294,4.0,Normal
121,121,Blue Dart,TRK-00000121,In Transit,2017-06-12,2017-06-16,,27.55,2026-08-06 01:41:13.679294,,Delayed
122,122,Delhivery,TRK-00000122,Delivered,2017-06-12,2017-06-16,2017-06-16,11.89,2026-08-06 01:41:13.679294,4.0,Normal
123,123,Blue Dart,TRK-00000123,Delivered,2017-06-12,2017-06-15,2017-06-15,43.05,2026-08-06 01:41:13.679294,3.0,Fast
124,124,Dhl,TRK-00000124,Delivered,2017-06-14,2017-06-17,2017-06-17,25.3,2026-08-06 01:41:13.679294,3.0,Fast
125,125,Delhivery,TRK-00000125,In Transit,2015-12-28,2016-01-01,,23.36,2026-08-06 01:41:13.679294,,Delayed
126,126,Delhivery,TRK-00000126,Delivered,2015-09-20,2015-09-25,2015-09-25,27.55,2026-08-06 01:41:13.679294,5.0,Normal
127,127,Dhl,TRK-00000127,Delivered,2018-11-06,2018-11-11,2018-11-11,10.77,2026-08-06 01:41:13.679294,5.0,Normal
128,128,Delhivery,TRK-00000128,Delivered,2018-11-05,2018-11-10,2018-11-11,46.21,2026-08-06 01:41:13.679294,6.0,Normal
129,129,Fedex,TRK-00000129,Delivered,2017-11-07,2017-11-11,2017-11-12,31.36,2026-08-06 01:41:13.679294,5.0,Normal
130,130,Dhl,TRK-00000130,Delivered,2017-11-08,2017-11-13,2017-11-13,18.78,2026-08-06 01:41:13.679294,5.0,Normal
131,131,Fedex,TRK-00000131,Delivered,2018-02-03,2018-02-06,2018-02-06,14.43,2026-08-06 01:41:13.679294,3.0,Fast
132,132,Ups,TRK-00000132,Delivered,2018-02-03,2018-02-08,2018-02-08,36.08,2026-08-06 01:41:13.679294,5.0,Normal
133,133,Dhl,TRK-00000133,Delivered,2018-02-02,2018-02-05,2018-02-05,46.67,2026-08-06 01:41:13.679294,3.0,Fast
134,134,Blue Dart,TRK-00000134,Delivered,2017-10-15,2017-10-20,2017-10-20,27.09,2026-08-06 01:41:13.679294,5.0,Normal
135,135,Xpressbees,TRK-00000135,Delivered,2017-10-13,2017-10-18,2017-10-18,49.52,2026-08-06 01:41:13.679294,5.0,Normal
136,136,Blue Dart,TRK-00000136,Delivered,2017-10-14,2017-10-19,2017-10-19,21.29,2026-08-06 01:41:13.679294,5.0,Normal
137,137,Dhl,TRK-00000137,Delivered,2017-10-15,2017-10-20,2017-10-21,13.57,2026-08-06 01:41:13.679294,6.0,Normal
138,138,Dhl,TRK-00000138,Delivered,2017-10-13,2017-10-16,2017-10-16,15.3,2026-08-06 01:41:13.679294,3.0,Fast
139,139,Fedex,TRK-00000139,Delivered,2017-10-14,2017-10-19,2017-10-20,27.82,2026-08-06 01:41:13.679294,6.0,Normal
140,140,Dhl,TRK-00000140,Delivered,2017-10-14,2017-10-19,2017-10-20,20.65,2026-08-06 01:41:13.679294,6.0,Normal
141,141,Fedex,TRK-00000141,Delivered,2017-09-06,2017-09-10,2017-09-10,20.23,2026-08-06 01:41:13.679294,4.0,Normal
142,142,Delhivery,TRK-00000142,In Transit,2018-09-19,2018-09-22,,31.11,2026-08-06 01:41:13.679294,,Delayed
143,143,Blue Dart,TRK-00000143,Delivered,2018-09-18,2018-09-23,2018-09-23,47.16,2026-08-06 01:41:13.679294,5.0,Normal
144,144,Fedex,TRK-00000144,Delivered,2018-09-18,2018-09-23,2018-09-24,38.89,2026-08-06 01:41:13.679294,6.0,Normal
145,145,Ups,TRK-00000145,Delivered,2018-12-23,2018-12-28,2018-12-28,42.7,2026-08-06 01:41:13.679294,5.0,Normal
146,146,Dhl,TRK-00000146,Delivered,2016-09-09,2016-09-13,2016-09-13,46.94,2026-08-06 01:41:13.679294,4.0,Normal
147,147,Xpressbees,TRK-00000147,Delivered,2015-10-24,2015-10-29,2015-10-29,28.05,2026-08-06 01:41:13.679294,5.0,Normal
148,148,Ups,TRK-00000148,Delivered,2017-12-05,2017-12-10,2017-12-11,14.29,2026-08-06 01:41:13.679294,6.0,Normal
149,149,Fedex,TRK-00000149,Delivered,2017-12-05,2017-12-08,2017-12-08,41.68,2026-08-06 01:41:13.679294,3.0,Fast
150,150,Dhl,TRK-00000150,Delivered,2017-12-07,2017-12-11,2017-12-12,28.04,2026-08-06 01:41:13.679294,5.0,Normal
151,151,Fedex,TRK-00000151,Delivered,2017-12-05,2017-12-10,2017-12-10,44.73,2026-08-06 01:41:13.679294,5.0,Normal
152,152,Xpressbees,TRK-00000152,Delivered,2017-03-13,2017-03-16,2017-03-16,39.92,2026-08-06 01:41:13.679294,3.0,Fast
153,153,Xpressbees,TRK-00000153,Delivered,2017-03-13,2017-03-18,2017-03-18,20.7,2026-08-06 01:41:13.679294,5.0,Normal
154,154,Fedex,TRK-00000154,Delivered,2016-05-31,2016-06-05,2016-06-05,32.03,2026-08-06 01:41:13.679294,5.0,Normal
155,155,Dhl,TRK-00000155,Delivered,2016-06-02,2016-06-05,2016-06-05,24.66,2026-08-06 01:41:13.679294,3.0,Fast
156,156,Fedex,TRK-00000156,Delivered,2016-06-02,2016-06-05,2016-06-05,32.41,2026-08-06 01:41:13.679294,3.0,Fast
157,157,Delhivery,TRK-00000157,Delivered,2016-05-29,2016-06-03,2016-06-03,10.08,2026-08-06 01:41:13.679294,5.0,Normal
158,158,Blue Dart,TRK-00000158,Delivered,2015-03-02,2015-03-07,2015-03-07,18.21,2026-08-06 01:41:13.679294,5.0,Normal
159,159,Delhivery,TRK-00000159,Delivered,2017-11-20,2017-11-24,2017-11-24,34.67,2026-08-06 01:41:13.679294,4.0,Normal
160,160,Fedex,TRK-00000160,Delivered,2017-11-20,2017-11-23,2017-11-23,14.24,2026-08-06 01:41:13.679294,3.0,Fast
161,161,Delhivery,TRK-00000161,Delivered,2017-05-12,2017-05-17,2017-05-17,14.25,2026-08-06 01:41:13.679294,5.0,Normal
162,162,Dhl,TRK-00000162,Delivered,2016-12-28,2016-12-31,2016-12-31,36.43,2026-08-06 01:41:13.679294,3.0,Fast
163,163,Blue Dart,TRK-00000163,Delivered,2017-11-17,2017-11-22,2017-11-22,22.47,2026-08-06 01:41:13.679294,5.0,Normal
164,164,Xpressbees,TRK-00000164,Delivered,2017-11-07,2017-11-11,2017-11-11,37.75,2026-08-06 01:41:13.679294,4.0,Normal
165,165,Blue Dart,TRK-00000165,In Transit,2015-09-09,2015-09-14,,31.4,2026-08-06 01:41:13.679294,,Delayed
166,166,Blue Dart,TRK-00000166,Delivered,2015-09-08,2015-09-13,2015-09-13,34.73,2026-08-06 01:41:13.679294,5.0,Normal
167,167,Blue Dart,TRK-00000167,Delivered,2015-09-08,2015-09-11,2015-09-11,47.37,2026-08-06 01:41:13.679294,3.0,Fast
168,168,Dhl,TRK-00000168,Delivered,2015-09-10,2015-09-13,2015-09-13,36.97,2026-08-06 01:41:13.679294,3.0,Fast
169,169,Dhl,TRK-00000169,Delivered,2015-09-09,2015-09-13,2015-09-13,43.93,2026-08-06 01:41:13.679294,4.0,Normal
170,170,Dhl,TRK-00000170,Delivered,2015-09-09,2015-09-13,2015-09-13,45.99,2026-08-06 01:41:13.679294,4.0,Normal
171,171,Dhl,TRK-00000171,Delivered,2015-09-10,2015-09-15,2015-09-15,21.87,2026-08-06 01:41:13.679294,5.0,Normal
172,172,Delhivery,TRK-00000172,Delivered,2015-08-05,2015-08-09,2015-08-09,40.68,2026-08-06 01:41:13.679294,4.0,Normal
173,173,Xpressbees,TRK-00000173,Delivered,2015-08-05,2015-08-10,2015-08-10,48.2,2026-08-06 01:41:13.679294,5.0,Normal
174,174,Blue Dart,TRK-00000174,Delivered,2015-08-05,2015-08-09,2015-08-09,24.6,2026-08-06 01:41:13.679294,4.0,Normal
175,175,Xpressbees,TRK-00000175,Delivered,2015-09-15,2015-09-20,2015-09-21,41.22,2026-08-06 01:41:13.679294,6.0,Normal
176,176,Delhivery,TRK-00000176,Delivered,2015-09-15,2015-09-20,2015-09-20,17.87,2026-08-06 01:41:13.679294,5.0,Normal
177,177,Delhivery,TRK-00000177,Delivered,2018-04-21,2018-04-25,2018-04-25,25.05,2026-08-06 01:41:13.679294,4.0,Normal
178,178,Fedex,TRK-00000178,Delivered,2016-11-23,2016-11-26,2016-11-26,30.48,2026-08-06 01:41:13.679294,3.0,Fast
179,179,Fedex,TRK-00000179,Delivered,2016-11-22,2016-11-25,2016-11-26,49.51,2026-08-06 01:41:13.679294,4.0,Normal
180,180,Xpressbees,TRK-00000180,Delivered,2016-12-15,2016-12-18,2016-12-18,43.43,2026-08-06 01:41:13.679294,3.0,Fast
181,181,Dhl,TRK-00000181,In Transit,2015-12-06,2015-12-11,,16.79,2026-08-06 01:41:13.679294,,Delayed
182,182,Delhivery,TRK-00000182,Delivered,2015-12-06,2015-12-10,2015-12-10,10.32,2026-08-06 01:41:13.679294,4.0,Normal
183,183,Delhivery,TRK-00000183,Delivered,2015-11-20,2015-11-24,2015-11-24,21.6,2026-08-06 01:41:13.679294,4.0,Normal
184,184,Blue Dart,TRK-00000184,Delivered,2015-11-21,2015-11-26,2015-11-26,47.19,2026-08-06 01:41:13.679294,5.0,Normal
185,185,Xpressbees,TRK-00000185,Delivered,2015-11-21,2015-11-26,2015-11-26,16.59,2026-08-06 01:41:13.679294,5.0,Normal
186,186,Delhivery,TRK-00000186,Delivered,2017-11-30,2017-12-03,2017-12-03,49.85,2026-08-06 01:41:13.679294,3.0,Fast
187,187,Ups,TRK-00000187,Delivered,2015-08-28,2015-09-02,2015-09-02,32.52,2026-08-06 01:41:13.679294,5.0,Normal
188,188,Blue Dart,TRK-00000188,Delivered,2017-07-17,2017-07-21,2017-07-21,21.33,2026-08-06 01:41:13.679294,4.0,Normal
189,189,Ups,TRK-00000189,Delivered,2017-07-18,2017-07-22,2017-07-22,11.46,2026-08-06 01:41:13.679294,4.0,Normal
190,190,Xpressbees,TRK-00000190,Delivered,2016-10-14,2016-10-18,2016-10-18,16.2,2026-08-06 01:41:13.679294,4.0,Normal
191,191,Delhivery,TRK-00000191,Delivered,2016-10-13,2016-10-17,2016-10-17,16.88,2026-08-06 01:41:13.679294,4.0,Normal
192,192,Blue Dart,TRK-00000192,Delivered,2016-10-14,2016-10-17,2016-10-17,48.05,2026-08-06 01:41:13.679294,3.0,Fast
193,193,Blue Dart,TRK-00000193,Delivered,2016-10-14,2016-10-17,2016-10-17,38.75,2026-08-06 01:41:13.679294,3.0,Fast
194,194,Xpressbees,TRK-00000194,In Transit,2016-10-12,2016-10-17,,27.84,2026-08-06 01:41:13.679294,,Delayed
195,195,Xpressbees,TRK-00000195,Delivered,2016-11-02,2016-11-07,2016-11-07,11.68,2026-08-06 01:41:13.679294,5.0,Normal
