return_id,order_row_id,product_id,return_date,return_reason,refund_amount,return_status,created_at
85,709,FUR-BO-10003272,2015-12-16,Wrong Item,795.53,Completed,2026-08-06 01:42:10.267403
86,5536,OFF-BI-10001721,2017-06-22,Late Delivery,57.73,Completed,2026-08-06 01:42:10.267403
87,348,OFF-PA-10000249,2018-08-05,Damaged Product,22.1,Completed,2026-08-06 01:42:10.267403
88,7196,FUR-FU-10004848,2017-12-09,Defective Product,17.59,Completed,2026-08-06 01:42:10.267403
89,8350,FUR-FU-10001025,2016-05-05,Late Delivery,21.87,Rejected,2026-08-06 01:42:10.267403
90,6715,TEC-AC-10004510,2019-01-03,Wrong Item,35.33,Completed,2026-08-06 01:42:10.267403
91,4950,FUR-FU-10000732,2018-12-02,Damaged Product,16.96,Rejected,2026-08-06 01:42:10.267403
92,9533,FUR-CH-10000553,2017-11-09,Other,384.88,Completed,2026-08-06 01:42:10.267403
93,416,FUR-CH-10001891,2018-11-24,Defective Product,276.43,Completed,2026-08-06 01:42:10.267403
94,2324,OFF-BI-10003707,2017-01-29,Defective Product,68.67,Completed,2026-08-06 01:42:10.267403
95,1149,OFF-BI-10003350,2016-05-03,Customer Changed Mind,11.48,Completed,2026-08-06 01:42:10.267403
96,7130,TEC-AC-10004209,2017-04-26,Defective Product,31.65,Rejected,2026-08-06 01:42:10.267403
97,5195,OFF-AR-10004757,2015-12-23,Other,11.81,Completed,2026-08-06 01:42:10.267403
98,7330,OFF-ST-10000078,2015-03-28,Late Delivery,1670.57,Rejected,2026-08-06 01:42:10.267403
99,2741,TEC-AC-10004227,2018-05-07,Other,23.38,Requested,2026-08-06 01:42:10.267403
100,7544,TEC-PH-10004833,2018-12-26,Defective Product,51.62,Completed,2026-08-06 01:42:10.267403
101,6502,TEC-PH-10001299,2015-11-09,Late Delivery,485.96,Approved,2026-08-06 01:42:10.267403
102,8136,OFF-LA-10002762,2016-03-03,Damaged Product,78.94,Completed,2026-08-06 01:42:10.267403
103,2105,TEC-AC-10001266,2018-04-03,Other,23.4,Completed,2026-08-06 01:42:10.267403
104,7845,FUR-TA-10001676,2018-08-15,Customer Changed Mind,111.96,Completed,2026-08-06 01:42:10.267403
105,4020,OFF-AP-10001492,2016-09-17,Damaged Product,23.27,Rejected,2026-08-06 01:42:10.267403
106,3096,OFF-FA-10003021,2016-09-18,Damaged Product,10.83,Completed,2026-08-06 01:42:10.267403
107,5068,OFF-AR-10003504,2018-02-07,Late Delivery,19.26,Completed,2026-08-06 01:42:10.267403
108,7970,FUR-CH-10004853,2017-11-04,Defective Product,108.7,Rejected,2026-08-06 01:42:10.267403
109,1584,FUR-FU-10002157,2016-08-23,Damaged Product,42.34,Completed,2026-08-06 01:42:10.267403
110,520,TEC-AC-10000171,2016-04-16,Late Delivery,16.55,Rejected,2026-08-06 01:42:10.267403
111,5162,FUR-BO-10002916,2015-08-16,Defective Product,1231.06,Approved,2026-08-06 01:42:10.267403
112,5074,OFF-ST-10000649,2016-12-04,Late Delivery,56.52,Completed,2026-08-06 01:42:10.267403
113,3757,FUR-CH-10004983,2017-03-15,Wrong Item,507.09,Completed,2026-08-06 01:42:10.267403
114,4821,OFF-AP-10002651,2016-05-03,Customer Changed Mind,416.93,Requested,2026-08-06 01:42:10.267403
115,6759,OFF-ST-10000934,2018-09-29,Customer Changed Mind,73.76,Completed,2026-08-06 01:42:10.267403
116,3717,OFF-FA-10004395,2018-06-20,Customer Changed Mind,21.2,Completed,2026-08-06 01:42:10.267403
117,7934,OFF-EN-10003134,2018-08-31,Defective Product,21.02,Completed,2026-08-06 01:42:10.267403
118,4591,OFF-SU-10000952,2018-01-16,Wrong Item,15.98,Requested,2026-08-06 01:42:10.267403
119,7690,OFF-AP-10002191,2018-08-04,Late Delivery,161.95,Rejected,2026-08-06 01:42:10.267403
120,2665,FUR-TA-10004534,2017-05-21,Wrong Item,333.56,Completed,2026-08-06 01:42:10.267403
121,2021,OFF-ST-10001490,2017-10-15,Other,1445.61,Requested,2026-08-06 01:42:10.267403
122,7304,FUR-CH-10003817,2018-09-13,Defective Product,87.46,Completed,2026-08-06 01:42:10.267403
123,3161,OFF-BI-10004040,2015-09-28,Other,4.66,Requested,2026-08-06 01:42:10.267403
124,4256,OFF-BI-10000778,2018-10-24,Defective Product,87.1,Completed,2026-08-06 01:42:10.267403
125,8421,TEC-AC-10004171,2018-06-04,Customer Changed Mind,179.98,Requested,2026-08-06 01:42:10.267403
126,6903,OFF-FA-10002280,2018-09-10,Customer Changed Mind,14.4,Completed,2026-08-06 01:42:10.267403
127,7252,OFF-LA-10002473,2017-09-03,Late Delivery,8.3,Approved,2026-08-06 01:42:10.267403
128,7026,TEC-PH-10002538,2018-02-12,Damaged Product,204.71,Completed,2026-08-06 01:42:10.267403
129,1966,OFF-AP-10003281,2018-10-01,Late Delivery,21.76,Completed,2026-08-06 01:42:10.267403
130,1640,OFF-BI-10004728,2017-06-15,Defective Product,8.68,Rejected,2026-08-06 01:42:10.267403
131,4456,FUR-CH-10002372,2016-09-14,Late Delivery,116.61,Completed,2026-08-06 01:42:10.267403
132,7217,OFF-AR-10001246,2016-05-25,Other,7.94,Completed,2026-08-06 01:42:10.267403
133,407,TEC-CO-10004115,2018-12-20,Other,1079.98,Completed,2026-08-06 01:42:10.267403
134,1962,TEC-AC-10002217,2018-09-27,Damaged Product,101.52,Approved,2026-08-06 01:42:10.267403
135,8463,OFF-LA-10001982,2016-09-21,Customer Changed Mind,6.75,Completed,2026-08-06 01:42:10.267403
136,5481,TEC-PH-10001336,2018-10-19,Customer Changed Mind,92.87,Requested,2026-08-06 01:42:10.267403
137,8557,OFF-ST-10002182,2016-04-03,Wrong Item,135.37,Completed,2026-08-06 01:42:10.267403
138,362,OFF-LA-10001158,2018-10-12,Defective Product,18.63,Approved,2026-08-06 01:42:10.267403
139,4244,OFF-PA-10001776,2017-04-28,Defective Product,25.03,Completed,2026-08-06 01:42:10.267403
140,1816,OFF-LA-10000443,2016-06-25,Late Delivery,6.64,Completed,2026-08-06 01:42:10.267403
141,4103,OFF-PA-10000740,2018-06-27,Other,131.56,Completed,2026-08-06 01:42:10.267403
142,5570,OFF-PA-10001934,2018-04-07,Defective Product,14.0,Rejected,2026-08-06 01:42:10.267403
143,5746,FUR-FU-10003829,2018-04-23,Late Delivery,19.4,Completed,2026-08-06 01:42:10.267403
144,8676,OFF-AR-10004078,2018-02-22,Damaged Product,25.23,Completed,2026-08-06 01:42:10.267403
145,3730,OFF-ST-10004950,2016-09-28,Late Delivery,37.76,Rejected,2026-08-06 01:42:10.267403
146,1716,OFF-BI-10003314,2017-05-21,Damaged Product,6.94,Completed,2026-08-06 01:42:10.267403
147,4544,FUR-CH-10004477,2016-08-05,Defective Product,345.25,Completed,2026-08-06 01:42:10.267403
148,7403,OFF-SU-10002573,2018-08-14,Other,63.11,Completed,2026-08-06 01:42:10.267403
149,9574,OFF-AR-10003504,2016-10-23,Late Delivery,15.41,Completed,2026-08-06 01:42:10.267403
150,7793,TEC-AC-10001383,2018-11-04,Other,35.98,Completed,2026-08-06 01:42:10.267403
151,8109,FUR-CH-10003396,2018-12-22,Customer Changed Mind,193.99,Completed,2026-08-06 01:42:10.267403
152,8198,OFF-AR-10001897,2018-10-03,Defective Product,64.76,Completed,2026-08-06 01:42:10.267403
153,4693,OFF-PA-10000357,2016-01-12,Wrong Item,199.73,Completed,2026-08-06 01:42:10.267403
154,1483,OFF-AR-10003560,2018-09-07,Wrong Item,8.76,Completed,2026-08-06 01:42:10.267403
155,121,OFF-BI-10003910,2017-07-08,Wrong Item,27.76,Requested,2026-08-06 01:42:10.267403
156,4487,OFF-PA-10004359,2017-11-20,Other,283.1,Completed,2026-08-06 01:42:10.267403
157,559,OFF-PA-10003441,2017-06-24,Wrong Item,29.16,Completed,2026-08-06 01:42:10.267403
158,7357,OFF-AR-10001315,2017-10-21,Wrong Item,1.27,Completed,2026-08-06 01:42:10.267403
159,3260,OFF-BI-10000285,2017-11-28,Defective Product,2.83,Rejected,2026-08-06 01:42:10.267403
160,4558,OFF-BI-10003984,2018-11-03,Late Delivery,7.7,Completed,2026-08-06 01:42:10.267403
161,9052,OFF-AR-10004272,2015-04-02,Late Delivery,3.02,Approved,2026-08-06 01:42:10.267403
162,906,OFF-PA-10000019,2017-04-19,Damaged Product,11.66,Completed,2026-08-06 01:42:10.267403
163,1226,OFF-PA-10001685,2017-12-10,Defective Product,36.5,Completed,2026-08-06 01:42:10.267403
164,1112,OFF-PA-10004735,2017-12-06,Defective Product,9.33,Approved,2026-08-06 01:42:10.267403
165,3169,FUR-CH-10003833,2017-06-21,Wrong Item,351.24,Completed,2026-08-06 01:42:10.267403
166,2100,TEC-AC-10002926,2018-09-12,Damaged Product,251.95,Rejected,2026-08-06 01:42:10.267403
167,4835,OFF-BI-10002571,2018-10-20,Other,35.93,Completed,2026-08-06 01:42:10.267403
168,6838,OFF-AR-10003732,2016-07-24,Late Delivery,10.01,Completed,2026-08-06 01:42:10.267403
169,1411,OFF-LA-10003923,2018-11-20,Wrong Item,21.31,Requested,2026-08-06 01:42:10.267403
170,4971,FUR-CH-10000513,2017-12-02,Customer Changed Mind,187.18,Requested,2026-08-06 01:42:10.267403
171,549,OFF-ST-10000604,2016-12-14,Customer Changed Mind,225.24,Completed,2026-08-06 01:42:10.267403
172,4281,OFF-PA-10004470,2015-11-25,Customer Changed Mind,10.22,Requested,2026-08-06 01:42:10.267403
173,744,OFF-PA-10002615,2017-09-20,Damaged Product,3.18,Completed,2026-08-06 01:42:10.267403
174,107,TEC-AC-10003499,2018-12-05,Other,66.7,Completed,2026-08-06 01:42:10.267403
175,1545,OFF-PA-10000350,2015-03-01,Customer Changed Mind,30.82,Completed,2026-08-06 01:42:10.267403
176,9187,OFF-AP-10002534,2018-08-24,Wrong Item,1325.79,Completed,2026-08-06 01:42:10.267403
177,58,FUR-CH-10003968,2017-06-30,Late Delivery,287.47,Completed,2026-08-06 01:42:10.267403
178,9134,TEC-PH-10004447,2016-09-14,Defective Product,500.36,Completed,2026-08-06 01:42:10.267403
179,2248,OFF-PA-10004285,2016-03-14,Late Delivery,12.02,Completed,2026-08-06 01:42:10.267403
180,1171,OFF-ST-10002352,2019-01-03,Wrong Item,28.73,Requested,2026-08-06 01:42:10.267403
181,8103,TEC-MA-10004002,2016-05-30,Customer Changed Mind,2675.99,Completed,2026-08-06 01:42:10.267403
182,7889,OFF-PA-10000019,2017-09-04,Other,29.16,Completed,2026-08-06 01:42:10.267403
183,6535,OFF-BI-10001359,2015-12-02,Wrong Item,1937.5,Completed,2026-08-06 01:42:10.267403
184,1184,TEC-PH-10003655,2018-01-28,Defective Product,7.13,Completed,2026-08-06 01:42:10.267403
185,7272,OFF-AP-10002287,2017-10-13,Damaged Product,15.73,Approved,2026-08-06 01:42:10.267403
186,9139,TEC-PH-10002890,2015-02-21,Wrong Item,162.86,Completed,2026-08-06 01:42:10.267403
187,5921,TEC-AC-10003033,2016-10-13,Other,593.91,Requested,2026-08-06 01:42:10.267403
188,4162,OFF-ST-10002214,2018-05-31,Late Delivery,20.32,Approved,2026-08-06 01:42:10.267403
189,5086,OFF-BI-10001107,2016-07-05,Late Delivery,5.21,Completed,2026-08-06 01:42:10.267403
190,8224,OFF-PA-10000241,2017-07-11,Late Delivery,167.29,Completed,2026-08-06 01:42:10.267403
191,6424,FUR-CH-10003956,2016-11-22,Late Delivery,408.84,Completed,2026-08-06 01:42:10.267403
192,664,OFF-ST-10001522,2017-04-14,Late Delivery,413.96,Completed,2026-08-06 01:42:10.267403
193,8899,TEC-PH-10003601,2016-09-05,Wrong Item,445.47,Completed,2026-08-06 01:42:10.267403
194,8660,OFF-PA-10002246,2017-09-18,Defective Product,27.86,Rejected,2026-08-06 01:42:10.267403
195,1784,OFF-PA-10004475,2018-10-06,Defective Product,197.86,Completed,2026-08-06 01:42:10.267403
196,1564,OFF-PA-10004000,2016-11-28,Late Delivery,10.22,Completed,2026-08-06 01:42:10.267403
197,7616,OFF-BI-10000201,2015-12-21,Defective Product,5.98,Completed,2026-08-06 01:42:10.267403
198,2393,FUR-FU-10002878,2016-12-29,Other,102.53,Completed,2026-08-06 01:42:10.267403
199,5850,OFF-ST-10000078,2016-11-15,Damaged Product,715.96,Rejected,2026-08-06 01:42:10.267403
200,8763,OFF-ST-10003722,2018-01-16,Customer Changed Mind,12.63,Completed,2026-08-06 01:42:10.267403
201,2626,OFF-EN-10002500,2018-10-28,Late Delivery,57.51,Completed,2026-08-06 01:42:10.267403
202,9744,OFF-LA-10001641,2017-07-10,Damaged Product,8.51,Completed,2026-08-06 01:42:10.267403
203,6370,FUR-FU-10001756,2017-10-28,Late Delivery,34.27,Rejected,2026-08-06 01:42:10.267403
204,5062,OFF-BI-10003684,2016-05-25,Late Delivery,39.58,Approved,2026-08-06 01:42:10.267403
205,2476,OFF-LA-10004545,2017-11-09,Late Delivery,78.94,Completed,2026-08-06 01:42:10.267403
206,8234,OFF-ST-10002301,2015-10-06,Defective Product,36.61,Completed,2026-08-06 01:42:10.267403
207,2767,OFF-AP-10000159,2018-02-06,Wrong Item,30.94,Completed,2026-08-06 01:42:10.267403
208,5960,FUR-CH-10003746,2017-03-27,Defective Product,693.32,Rejected,2026-08-06 01:42:10.267403
209,9298,TEC-PH-10003357,2016-05-16,Late Delivery,220.29,Completed,2026-08-06 01:42:10.267403
210,3895,OFF-BI-10002571,2015-12-17,Wrong Item,8.98,Completed,2026-08-06 01:42:10.267403
211,1994,OFF-AR-10002257,2018-07-19,Defective Product,4.81,Completed,2026-08-06 01:42:10.267403
212,9472,OFF-BI-10002706,2018-12-02,Late Delivery,10.28,Approved,2026-08-06 01:42:10.267403
213,6213,OFF-FA-10003495,2018-11-30,Customer Changed Mind,16.42,Completed,2026-08-06 01:42:10.267403
214,3160,TEC-AC-10001314,2017-04-10,Late Delivery,107.98,Rejected,2026-08-06 01:42:10.267403
215,7844,OFF-PA-10001569,2015-05-13,Defective Product,64.15,Completed,2026-08-06 01:42:10.267403
216,7656,OFF-PA-10003848,2016-12-11,Damaged Product,23.33,Completed,2026-08-06 01:42:10.267403
217,6188,OFF-BI-10003963,2016-12-03,Defective Product,31.45,Completed,2026-08-06 01:42:10.267403
218,6304,OFF-PA-10000167,2018-06-27,Late Delivery,66.92,Completed,2026-08-06 01:42:10.267403
219,4160,OFF-AR-10003056,2017-05-01,Defective Product,11.56,Rejected,2026-08-06 01:42:10.267403
220,1429,OFF-BI-10003708,2016-11-09,Wrong Item,26.82,Completed,2026-08-06 01:42:10.267403
221,5858,FUR-FU-10002364,2016-08-18,Defective Product,13.28,Completed,2026-08-06 01:42:10.267403
222,7738,OFF-AR-10001315,2019-01-05,Late Delivery,11.4,Completed,2026-08-06 01:42:10.267403
223,5767,OFF-LA-10004545,2017-10-30,Wrong Item,54.13,Completed,2026-08-06 01:42:10.267403
224,2117,FUR-TA-10001307,2016-11-03,Other,188.7,Completed,2026-08-06 01:42:10.267403
225,269,OFF-ST-10004180,2019-01-02,Other,33.49,Completed,2026-08-06 01:42:10.267403
226,3897,OFF-FA-10000611,2019-01-03,Customer Changed Mind,3.2,Completed,2026-08-06 01:42:10.267403
227,5035,FUR-BO-10004690,2016-08-24,Wrong Item,618.66,Completed,2026-08-06 01:42:10.267403
228,8444,OFF-BI-10002982,2017-03-30,Defective Product,1.84,Completed,2026-08-06 01:42:10.267403
229,4393,OFF-AR-10001953,2017-10-01,Wrong Item,63.33,Completed,2026-08-06 01:42:10.267403
230,6223,FUR-FU-10000087,2019-01-20,Wrong Item,65.43,Completed,2026-08-06 01:42:10.267403
231,4695,OFF-BI-10000320,2017-01-11,Customer Changed Mind,26.57,Completed,2026-08-06 01:42:10.267403
232,7946,OFF-BI-10001597,2019-01-20,Defective Product,36.88,Completed,2026-08-06 01:42:10.267403
233,1264,TEC-PH-10000215,2017-10-20,Late Delivery,62.91,Completed,2026-08-06 01:42:10.267403
234,7641,OFF-PA-10002764,2018-03-23,Customer Changed Mind,61.24,Requested,2026-08-06 01:42:10.267403
235,401,OFF-ST-10000934,2017-09-14,Other,118.03,Requested,2026-08-06 01:42:10.267403
236,8159,OFF-PA-10004285,2019-01-09,Other,14.43,Completed,2026-08-06 01:42:10.267403
237,4227,OFF-FA-10004854,2018-11-18,Customer Changed Mind,41.33,Completed,2026-08-06 01:42:10.267403
238,7311,OFF-BI-10004632,2016-08-26,Customer Changed Mind,58.28,Requested,2026-08-06 01:42:10.267403
239,438,OFF-PA-10001970,2017-06-30,Damaged Product,282.14,Completed,2026-08-06 01:42:10.267403
240,9313,OFF-AR-10000588,2018-03-24,Wrong Item,57.14,Completed,2026-08-06 01:42:10.267403
241,5095,FUR-TA-10004086,2015-12-31,Wrong Item,193.46,Completed,2026-08-06 01:42:10.267403
242,8197,TEC-AC-10004568,2018-10-02,Wrong Item,80.61,Completed,2026-08-06 01:42:10.267403
243,5009,OFF-BI-10004781,2016-09-21,Other,8.57,Completed,2026-08-06 01:42:10.267403
244,4400,OFF-EN-10003055,2017-03-22,Defective Product,179.91,Rejected,2026-08-06 01:42:10.267403
245,6589,OFF-BI-10003355,2018-08-09,Wrong Item,13.45,Completed,2026-08-06 01:42:10.267403
246,2344,OFF-ST-10004804,2015-08-19,Late Delivery,111.2,Completed,2026-08-06 01:42:10.267403
247,3412,OFF-BI-10003656,2017-10-07,Late Delivery,244.78,Approved,2026-08-06 01:42:10.267403
248,2999,TEC-AC-10003628,2015-07-20,Other,86.37,Completed,2026-08-06 01:42:10.267403
249,7638,OFF-AR-10001615,2018-03-20,Damaged Product,53.57,Completed,2026-08-06 01:42:10.267403
250,3141,OFF-AP-10002311,2016-05-16,Customer Changed Mind,185.79,Requested,2026-08-06 01:42:10.267403
251,8311,FUR-TA-10001866,2015-03-17,Wrong Item,338.86,Requested,2026-08-06 01:42:10.267403
252,9291,OFF-AR-10002375,2015-10-14,Customer Changed Mind,8.86,Requested,2026-08-06 01:42:10.267403
253,589,TEC-PH-10003800,2017-04-08,Wrong Item,76.3,Completed,2026-08-06 01:42:10.267403
254,6398,OFF-AR-10003651,2018-11-28,Defective Product,4.73,Completed,2026-08-06 01:42:10.267403
255,4899,OFF-PA-10002230,2015-11-13,Customer Changed Mind,7.17,Completed,2026-08-06 01:42:10.267403
256,5470,OFF-PA-10004888,2015-10-21,Late Delivery,17.5,Rejected,2026-08-06 01:42:10.267403
257,1509,OFF-BI-10004965,2018-12-24,Customer Changed Mind,31.05,Completed,2026-08-06 01:42:10.267403
258,1899,OFF-BI-10004390,2015-09-27,Customer Changed Mind,454.66,Completed,2026-08-06 01:42:10.267403
