payment_id,order_row_id,payment_method,payment_status,payment_date,transaction_reference,payment_amount,created_at
22,22,Cash,Completed,2017-12-10,TXN-00000022,19.46,2026-08-06 01:41:39.368897
23,23,Wallet,Completed,2017-12-13,TXN-00000023,60.34,2026-08-06 01:41:39.368897
24,24,Wallet,Completed,2018-07-16,TXN-00000024,71.37,2026-08-06 01:41:39.368897
25,25,Credit Card,Completed,2016-09-28,TXN-00000025,1044.63,2026-08-06 01:41:39.368897
26,26,Wallet,Completed,2017-01-17,TXN-00000026,11.65,2026-08-06 01:41:39.368897
27,27,Debit Card,Completed,2017-01-18,TXN-00000027,90.57,2026-08-06 01:41:39.368897
28,28,Credit Card,Completed,2016-09-18,TXN-00000028,3083.43,2026-08-06 01:41:39.368897
29,29,Debit Card,Completed,2016-09-19,TXN-00000029,9.62,2026-08-06 01:41:39.368897
30,30,Debit Card,Completed,2016-09-20,TXN-00000030,124.2,2026-08-06 01:41:39.368897
31,31,Cash,Completed,2016-09-20,TXN-00000031,3.26,2026-08-06 01:41:39.368897
32,32,Debit Card,Completed,2016-09-17,TXN-00000032,86.3,2026-08-06 01:41:39.368897
33,33,Credit Card,Completed,2016-09-18,TXN-00000033,6.86,2026-08-06 01:41:39.368897
34,34,Cash,Completed,2016-09-19,TXN-00000034,15.76,2026-08-06 01:41:39.368897
35,35,Wallet,Completed,2018-10-20,TXN-00000035,29.47,2026-08-06 01:41:39.368897
36,36,Wallet,Completed,2017-12-08,TXN-00000036,1097.54,2026-08-06 01:41:39.368897
37,37,UPI,Completed,2017-12-11,TXN-00000037,190.92,2026-08-06 01:41:39.368897
38,38,Net Banking,Completed,2016-12-30,TXN-00000038,113.33,2026-08-06 01:41:39.368897
39,39,UPI,Completed,2016-12-31,TXN-00000039,532.4,2026-08-06 01:41:39.368897
40,40,UPI,Completed,2016-12-27,TXN-00000040,212.06,2026-08-06 01:41:39.368897
41,41,Wallet,Completed,2016-12-29,TXN-00000041,371.17,2026-08-06 01:41:39.368897
42,42,Cash,Completed,2018-09-14,TXN-00000042,147.17,2026-08-06 01:41:39.368897
43,43,Net Banking,Completed,2017-07-18,TXN-00000043,77.88,2026-08-06 01:41:39.368897
44,44,Credit Card,Completed,2018-09-21,TXN-00000044,95.62,2026-08-06 01:41:39.368897
45,45,UPI,Completed,2017-03-14,TXN-00000045,45.98,2026-08-06 01:41:39.368897
46,46,Net Banking,Completed,2017-03-12,TXN-00000046,17.46,2026-08-06 01:41:39.368897
47,47,Wallet,Completed,2015-10-21,TXN-00000047,211.96,2026-08-06 01:41:39.368897
48,48,Wallet,Completed,2017-06-21,TXN-00000048,45.0,2026-08-06 01:41:39.368897
49,49,Debit Card,Completed,2017-06-22,TXN-00000049,21.8,2026-08-06 01:41:39.368897
50,50,Credit Card,Completed,2016-04-18,TXN-00000050,38.22,2026-08-06 01:41:39.368897
51,51,Net Banking,Completed,2016-04-19,TXN-00000051,75.18,2026-08-06 01:41:39.368897
52,52,Net Banking,Completed,2016-04-19,TXN-00000052,6.16,2026-08-06 01:41:39.368897
53,53,Wallet,Completed,2016-04-19,TXN-00000053,89.99,2026-08-06 01:41:39.368897
54,54,Debit Card,Completed,2017-12-15,TXN-00000054,15.26,2026-08-06 01:41:39.368897
55,55,Debit Card,Completed,2017-12-13,TXN-00000055,1029.95,2026-08-06 01:41:39.368897
56,56,Net Banking,Completed,2017-06-18,TXN-00000056,208.56,2026-08-06 01:41:39.368897
57,57,Credit Card,Completed,2017-06-17,TXN-00000057,32.4,2026-08-06 01:41:39.368897
58,58,Cash,Completed,2017-06-18,TXN-00000058,319.41,2026-08-06 01:41:39.368897
59,59,Debit Card,Completed,2017-06-21,TXN-00000059,14.56,2026-08-06 01:41:39.368897
60,60,Credit Card,Completed,2017-06-20,TXN-00000060,30.0,2026-08-06 01:41:39.368897
61,61,UPI,Completed,2017-06-18,TXN-00000061,48.48,2026-08-06 01:41:39.368897
62,62,UPI,Pending,2017-06-20,TXN-00000062,1.68,2026-08-06 01:41:39.368897
63,63,Credit Card,Completed,2016-11-28,TXN-00000063,13.98,2026-08-06 01:41:39.368897
64,64,Net Banking,Completed,2016-11-28,TXN-00000064,25.82,2026-08-06 01:41:39.368897
65,65,Wallet,Completed,2016-11-24,TXN-00000065,146.73,2026-08-06 01:41:39.368897
66,66,Credit Card,Completed,2016-11-27,TXN-00000066,79.76,2026-08-06 01:41:39.368897
67,67,Credit Card,Completed,2016-04-30,TXN-00000067,213.12,2026-08-06 01:41:39.368897
68,68,Net Banking,Completed,2015-12-08,TXN-00000068,1113.02,2026-08-06 01:41:39.368897
69,69,Cash,Completed,2015-12-08,TXN-00000069,167.97,2026-08-06 01:41:39.368897
70,70,Net Banking,Completed,2017-06-06,TXN-00000070,75.88,2026-08-06 01:41:39.368897
71,71,UPI,Completed,2017-09-19,TXN-00000071,4.62,2026-08-06 01:41:39.368897
72,72,Cash,Completed,2018-09-17,TXN-00000072,19.05,2026-08-06 01:41:39.368897
73,73,Cash,Completed,2016-04-29,TXN-00000073,831.94,2026-08-06 01:41:39.368897
74,74,UPI,Completed,2016-04-27,TXN-00000074,97.04,2026-08-06 01:41:39.368897
75,75,Credit Card,Completed,2016-04-28,TXN-00000075,72.78,2026-08-06 01:41:39.368897
76,76,Net Banking,Completed,2018-12-13,TXN-00000076,1.25,2026-08-06 01:41:39.368897
77,77,Debit Card,Completed,2018-12-12,TXN-00000077,9.71,2026-08-06 01:41:39.368897
78,78,Net Banking,Completed,2018-12-13,TXN-00000078,27.24,2026-08-06 01:41:39.368897
79,79,Debit Card,Completed,2015-11-26,TXN-00000079,19.3,2026-08-06 01:41:39.368897
80,80,Wallet,Completed,2017-06-15,TXN-00000080,208.16,2026-08-06 01:41:39.368897
81,81,Credit Card,Completed,2017-06-13,TXN-00000081,16.74,2026-08-06 01:41:39.368897
82,82,Cash,Completed,2015-10-14,TXN-00000082,14.9,2026-08-06 01:41:39.368897
83,83,Net Banking,Completed,2015-10-12,TXN-00000083,21.39,2026-08-06 01:41:39.368897
84,84,UPI,Completed,2016-09-06,TXN-00000084,200.98,2026-08-06 01:41:39.368897
85,85,Cash,Pending,2018-11-15,TXN-00000085,230.38,2026-08-06 01:41:39.368897
86,86,UPI,Completed,2018-06-01,TXN-00000086,301.96,2026-08-06 01:41:39.368897
87,87,UPI,Completed,2018-10-28,TXN-00000087,19.99,2026-08-06 01:41:39.368897
88,88,Wallet,Completed,2018-10-30,TXN-00000088,6.16,2026-08-06 01:41:39.368897
89,89,Debit Card,Completed,2017-04-07,TXN-00000089,158.37,2026-08-06 01:41:39.368897
90,90,Credit Card,Completed,2017-09-18,TXN-00000090,20.1,2026-08-06 01:41:39.368897
91,91,UPI,Completed,2017-09-17,TXN-00000091,73.58,2026-08-06 01:41:39.368897
92,92,Wallet,Completed,2017-09-19,TXN-00000092,6.48,2026-08-06 01:41:39.368897
93,93,Credit Card,Completed,2016-02-01,TXN-00000093,12.96,2026-08-06 01:41:39.368897
94,94,UPI,Completed,2016-02-04,TXN-00000094,53.34,2026-08-06 01:41:39.368897
95,95,UPI,Completed,2016-01-31,TXN-00000095,32.96,2026-08-06 01:41:39.368897
96,96,Debit Card,Completed,2018-11-10,TXN-00000096,5.68,2026-08-06 01:41:39.368897
97,97,Net Banking,Pending,2018-11-09,TXN-00000097,96.53,2026-08-06 01:41:39.368897
98,98,Net Banking,Completed,2018-06-18,TXN-00000098,51.31,2026-08-06 01:41:39.368897
99,99,Credit Card,Completed,2017-09-09,TXN-00000099,77.88,2026-08-06 01:41:39.368897
100,100,Credit Card,Completed,2017-08-29,TXN-00000100,64.62,2026-08-06 01:41:39.368897
101,101,Debit Card,Pending,2017-09-02,TXN-00000101,95.98,2026-08-06 01:41:39.368897
102,102,Credit Card,Completed,2017-09-01,TXN-00000102,1.79,2026-08-06 01:41:39.368897
103,103,Net Banking,Completed,2017-12-04,TXN-00000103,23.92,2026-08-06 01:41:39.368897
104,104,UPI,Completed,2016-11-16,TXN-00000104,238.9,2026-08-06 01:41:39.368897
105,105,UPI,Completed,2016-11-15,TXN-00000105,102.36,2026-08-06 01:41:39.368897
106,106,Credit Card,Completed,2016-11-17,TXN-00000106,36.88,2026-08-06 01:41:39.368897
107,107,UPI,Completed,2018-11-23,TXN-00000107,74.11,2026-08-06 01:41:39.368897
108,108,Net Banking,Completed,2018-11-24,TXN-00000108,27.99,2026-08-06 01:41:39.368897
109,109,Net Banking,Completed,2018-11-27,TXN-00000109,3.3,2026-08-06 01:41:39.368897
110,110,Cash,Completed,2016-10-16,TXN-00000110,339.96,2026-08-06 01:41:39.368897
111,111,Debit Card,Completed,2018-12-29,TXN-00000111,41.96,2026-08-06 01:41:39.368897
112,112,Cash,Completed,2017-11-04,TXN-00000112,75.96,2026-08-06 01:41:39.368897
113,113,Cash,Completed,2017-11-06,TXN-00000113,27.24,2026-08-06 01:41:39.368897
114,114,Cash,Completed,2015-08-29,TXN-00000114,40.1,2026-08-06 01:41:39.368897
115,115,Debit Card,Completed,2015-08-29,TXN-00000115,4.72,2026-08-06 01:41:39.368897
116,116,Net Banking,Completed,2015-08-25,TXN-00000116,23.98,2026-08-06 01:41:39.368897
117,117,Wallet,Completed,2015-08-27,TXN-00000117,130.46,2026-08-06 01:41:39.368897
118,118,Debit Card,Completed,2016-03-02,TXN-00000118,787.53,2026-08-06 01:41:39.368897
119,119,Cash,Completed,2016-04-07,TXN-00000119,157.79,2026-08-06 01:41:39.368897
120,120,Net Banking,Completed,2017-06-12,TXN-00000120,47.04,2026-08-06 01:41:39.368897
121,121,Net Banking,Completed,2017-06-14,TXN-00000121,30.84,2026-08-06 01:41:39.368897
122,122,Credit Card,Completed,2017-06-13,TXN-00000122,226.56,2026-08-06 01:41:39.368897
123,123,Wallet,Completed,2017-06-12,TXN-00000123,115.02,2026-08-06 01:41:39.368897
124,124,UPI,Completed,2017-06-12,TXN-00000124,68.04,2026-08-06 01:41:39.368897
125,125,Debit Card,Completed,2015-12-29,TXN-00000125,600.56,2026-08-06 01:41:39.368897
126,126,UPI,Completed,2015-09-20,TXN-00000126,617.7,2026-08-06 01:41:39.368897
127,127,Cash,Completed,2018-11-09,TXN-00000127,2.39,2026-08-06 01:41:39.368897
128,128,Wallet,Completed,2018-11-07,TXN-00000128,243.99,2026-08-06 01:41:39.368897
129,129,Cash,Completed,2017-11-07,TXN-00000129,81.42,2026-08-06 01:41:39.368897
130,130,Net Banking,Completed,2017-11-09,TXN-00000130,238.56,2026-08-06 01:41:39.368897
131,131,Credit Card,Completed,2018-02-02,TXN-00000131,59.97,2026-08-06 01:41:39.368897
132,132,Net Banking,Completed,2018-02-03,TXN-00000132,78.3,2026-08-06 01:41:39.368897
133,133,UPI,Completed,2018-02-02,TXN-00000133,21.46,2026-08-06 01:41:39.368897
134,134,Credit Card,Completed,2017-10-15,TXN-00000134,20.04,2026-08-06 01:41:39.368897
135,135,Credit Card,Completed,2017-10-13,TXN-00000135,35.44,2026-08-06 01:41:39.368897
136,136,Wallet,Completed,2017-10-15,TXN-00000136,11.52,2026-08-06 01:41:39.368897
137,137,Credit Card,Completed,2017-10-17,TXN-00000137,4.02,2026-08-06 01:41:39.368897
138,138,UPI,Completed,2017-10-16,TXN-00000138,76.18,2026-08-06 01:41:39.368897
139,139,Debit Card,Completed,2017-10-15,TXN-00000139,65.88,2026-08-06 01:41:39.368897
140,140,Net Banking,Completed,2017-10-16,TXN-00000140,43.12,2026-08-06 01:41:39.368897
141,141,Wallet,Completed,2017-09-08,TXN-00000141,82.8,2026-08-06 01:41:39.368897
142,142,UPI,Completed,2018-09-22,TXN-00000142,8.82,2026-08-06 01:41:39.368897
143,143,Credit Card,Completed,2018-09-18,TXN-00000143,10.86,2026-08-06 01:41:39.368897
144,144,Wallet,Completed,2018-09-19,TXN-00000144,143.7,2026-08-06 01:41:39.368897
145,145,Credit Card,Completed,2018-12-22,TXN-00000145,839.43,2026-08-06 01:41:39.368897
146,146,Wallet,Pending,2016-09-10,TXN-00000146,671.93,2026-08-06 01:41:39.368897
147,147,Cash,Completed,2015-10-23,TXN-00000147,93.89,2026-08-06 01:41:39.368897
148,148,Wallet,Completed,2017-12-09,TXN-00000148,384.45,2026-08-06 01:41:39.368897
149,149,Debit Card,Completed,2017-12-07,TXN-00000149,149.97,2026-08-06 01:41:39.368897
150,150,Credit Card,Completed,2017-12-07,TXN-00000150,1951.84,2026-08-06 01:41:39.368897
151,151,Net Banking,Completed,2017-12-08,TXN-00000151,171.55,2026-08-06 01:41:39.368897
152,152,Net Banking,Completed,2017-03-16,TXN-00000152,157.92,2026-08-06 01:41:39.368897
153,153,UPI,Completed,2017-03-14,TXN-00000153,203.18,2026-08-06 01:41:39.368897
154,154,Net Banking,Completed,2016-05-31,TXN-00000154,58.38,2026-08-06 01:41:39.368897
155,155,Net Banking,Completed,2016-05-31,TXN-00000155,105.52,2026-08-06 01:41:39.368897
156,156,Cash,Completed,2016-06-04,TXN-00000156,80.88,2026-08-06 01:41:39.368897
157,157,Credit Card,Completed,2016-05-30,TXN-00000157,6.63,2026-08-06 01:41:39.368897
158,158,Net Banking,Completed,2015-03-04,TXN-00000158,457.57,2026-08-06 01:41:39.368897
159,159,Debit Card,Completed,2017-11-23,TXN-00000159,14.62,2026-08-06 01:41:39.368897
160,160,Credit Card,Completed,2017-11-21,TXN-00000160,944.93,2026-08-06 01:41:39.368897
161,161,Wallet,Completed,2017-05-13,TXN-00000161,5.98,2026-08-06 01:41:39.368897
162,162,Wallet,Completed,2016-12-31,TXN-00000162,54.38,2026-08-06 01:41:39.368897
163,163,Cash,Completed,2017-11-19,TXN-00000163,28.4,2026-08-06 01:41:39.368897
164,164,Credit Card,Completed,2017-11-09,TXN-00000164,27.68,2026-08-06 01:41:39.368897
165,165,Debit Card,Pending,2015-09-12,TXN-00000165,9.94,2026-08-06 01:41:39.368897
166,166,Wallet,Completed,2015-09-11,TXN-00000166,8159.95,2026-08-06 01:41:39.368897
167,167,Credit Card,Completed,2015-09-10,TXN-00000167,275.93,2026-08-06 01:41:39.368897
168,168,UPI,Completed,2015-09-12,TXN-00000168,1740.06,2026-08-06 01:41:39.368897
169,169,Wallet,Completed,2015-09-09,TXN-00000169,32.06,2026-08-06 01:41:39.368897
170,170,Debit Card,Completed,2015-09-10,TXN-00000170,177.98,2026-08-06 01:41:39.368897
171,171,Wallet,Completed,2015-09-09,TXN-00000171,143.98,2026-08-06 01:41:39.368897
172,172,Net Banking,Completed,2015-08-08,TXN-00000172,20.94,2026-08-06 01:41:39.368897
173,173,Credit Card,Completed,2015-08-06,TXN-00000173,110.96,2026-08-06 01:41:39.368897
174,174,Net Banking,Completed,2015-08-08,TXN-00000174,340.14,2026-08-06 01:41:39.368897
175,175,Wallet,Completed,2015-09-15,TXN-00000175,52.45,2026-08-06 01:41:39.368897
176,176,Credit Card,Completed,2015-09-16,TXN-00000176,20.16,2026-08-06 01:41:39.368897
177,177,Debit Card,Completed,2018-04-25,TXN-00000177,97.26,2026-08-06 01:41:39.368897
178,178,UPI,Completed,2016-11-23,TXN-00000178,396.8,2026-08-06 01:41:39.368897
179,179,Debit Card,Completed,2016-11-22,TXN-00000179,15.88,2026-08-06 01:41:39.368897
180,180,Wallet,Completed,2016-12-19,TXN-00000180,3.28,2026-08-06 01:41:39.368897
181,181,Net Banking,Pending,2015-12-07,TXN-00000181,24.82,2026-08-06 01:41:39.368897
182,182,UPI,Completed,2015-12-09,TXN-00000182,408.74,2026-08-06 01:41:39.368897
183,183,UPI,Completed,2015-11-21,TXN-00000183,503.96,2026-08-06 01:41:39.368897
184,184,Cash,Completed,2015-11-19,TXN-00000184,149.95,2026-08-06 01:41:39.368897
185,185,Debit Card,Completed,2015-11-20,TXN-00000185,29.0,2026-08-06 01:41:39.368897
186,186,Debit Card,Completed,2017-12-02,TXN-00000186,7.16,2026-08-06 01:41:39.368897
187,187,Credit Card,Completed,2015-08-26,TXN-00000187,176.8,2026-08-06 01:41:39.368897
188,188,Net Banking,Completed,2017-07-18,TXN-00000188,37.22,2026-08-06 01:41:39.368897
189,189,Cash,Completed,2017-07-18,TXN-00000189,20.02,2026-08-06 01:41:39.368897
190,190,Cash,Completed,2016-10-12,TXN-00000190,899.14,2026-08-06 01:41:39.368897
191,191,Debit Card,Completed,2016-10-16,TXN-00000191,71.76,2026-08-06 01:41:39.368897
192,192,UPI,Completed,2016-10-14,TXN-00000192,51.84,2026-08-06 01:41:39.368897
193,193,Cash,Completed,2016-10-14,TXN-00000193,626.35,2026-08-06 01:41:39.368897
194,194,UPI,Completed,2016-10-16,TXN-00000194,19.9,2026-08-06 01:41:39.368897
195,195,Wallet,Pending,2016-10-31,TXN-00000195,14.28,2026-08-06 01:41:39.368897
196,196,Debit Card,Completed,2015-03-25,TXN-00000196,7.41,2026-08-06 01:41:39.368897
197,197,Debit Card,Completed,2015-03-22,TXN-00000197,6.05,2026-08-06 01:41:39.368897
198,198,UPI,Pending,2018-11-09,TXN-00000198,46.26,2026-08-06 01:41:39.368897
199,199,Debit Card,Completed,2018-07-09,TXN-00000199,2.95,2026-08-06 01:41:39.368897
200,200,UPI,Completed,2018-07-10,TXN-00000200,16.06,2026-08-06 01:41:39.368897
201,201,Debit Card,Completed,2018-06-27,TXN-00000201,21.74,2026-08-06 01:41:39.368897
202,202,Net Banking,Completed,2015-08-04,TXN-00000202,218.75,2026-08-06 01:41:39.368897
203,203,Net Banking,Completed,2015-08-07,TXN-00000203,2.6,2026-08-06 01:41:39.368897
204,204,Credit Card,Completed,2018-12-20,TXN-00000204,66.28,2026-08-06 01:41:39.368897
205,205,Wallet,Completed,2018-06-05,TXN-00000205,35.17,2026-08-06 01:41:39.368897
206,206,Wallet,Completed,2018-12-12,TXN-00000206,444.77,2026-08-06 01:41:39.368897
207,207,Wallet,Completed,2018-12-04,TXN-00000207,83.92,2026-08-06 01:41:39.368897
208,208,Wallet,Completed,2018-12-04,TXN-00000208,131.98,2026-08-06 01:41:39.368897
209,209,Net Banking,Completed,2018-12-03,TXN-00000209,15.92,2026-08-06 01:41:39.368897
210,210,Wallet,Completed,2018-12-03,TXN-00000210,52.29,2026-08-06 01:41:39.368897
211,211,Net Banking,Completed,2018-12-05,TXN-00000211,91.99,2026-08-06 01:41:39.368897
212,212,Cash,Completed,2016-02-12,TXN-00000212,20.8,2026-08-06 01:41:39.368897
213,213,Net Banking,Completed,2016-01-06,TXN-00000213,23.68,2026-08-06 01:41:39.368897
214,214,UPI,Completed,2016-01-06,TXN-00000214,452.45,2026-08-06 01:41:39.368897
215,215,Wallet,Completed,2016-01-03,TXN-00000215,62.98,2026-08-06 01:41:39.368897
216,216,Cash,Completed,2016-01-03,TXN-00000216,1188.0,2026-08-06 01:41:39.368897
217,217,Wallet,Completed,2016-01-04,TXN-00000217,89.58,2026-08-06 01:41:39.368897
218,218,Debit Card,Completed,2017-11-01,TXN-00000218,93.06,2026-08-06 01:41:39.368897
219,219,Wallet,Completed,2017-10-31,TXN-00000219,302.38,2026-08-06 01:41:39.368897
220,220,Debit Card,Completed,2016-12-24,TXN-00000220,5.58,2026-08-06 01:41:39.368897
221,221,Debit Card,Completed,2016-12-26,TXN-00000221,22.7,2026-08-06 01:41:39.368897
222,222,UPI,Completed,2016-12-26,TXN-00000222,19.78,2026-08-06 01:41:39.368897
223,223,Net Banking,Pending,2016-12-27,TXN-00000223,72.7,2026-08-06 01:41:39.368897
224,224,Cash,Completed,2016-12-27,TXN-00000224,479.99,2026-08-06 01:41:39.368897
225,225,Wallet,Completed,2016-12-27,TXN-00000225,27.17,2026-08-06 01:41:39.368897
226,226,UPI,Completed,2016-08-10,TXN-00000226,2.2,2026-08-06 01:41:39.368897
227,227,Net Banking,Completed,2016-08-13,TXN-00000227,622.45,2026-08-06 01:41:39.368897
228,228,Net Banking,Completed,2016-08-12,TXN-00000228,21.98,2026-08-06 01:41:39.368897
229,229,Cash,Completed,2016-03-02,TXN-00000229,161.57,2026-08-06 01:41:39.368897
230,230,Debit Card,Completed,2016-02-28,TXN-00000230,389.7,2026-08-06 01:41:39.368897
231,231,UPI,Completed,2015-09-14,TXN-00000231,18.65,2026-08-06 01:41:39.368897
232,232,Wallet,Completed,2018-04-07,TXN-00000232,233.86,2026-08-06 01:41:39.368897
233,233,Debit Card,Pending,2018-04-11,TXN-00000233,620.61,2026-08-06 01:41:39.368897
234,234,Wallet,Completed,2018-04-10,TXN-00000234,5.33,2026-08-06 01:41:39.368897
235,235,Cash,Completed,2018-04-09,TXN-00000235,258.07,2026-08-06 01:41:39.368897
236,236,Debit Card,Completed,2018-04-09,TXN-00000236,617.98,2026-08-06 01:41:39.368897
237,237,UPI,Completed,2018-11-14,TXN-00000237,10.56,2026-08-06 01:41:39.368897
238,238,Cash,Completed,2017-06-07,TXN-00000238,25.92,2026-08-06 01:41:39.368897
239,239,UPI,Completed,2017-06-07,TXN-00000239,419.68,2026-08-06 01:41:39.368897
240,240,Credit Card,Completed,2017-06-07,TXN-00000240,11.69,2026-08-06 01:41:39.368897
241,241,Wallet,Completed,2017-06-07,TXN-00000241,31.98,2026-08-06 01:41:39.368897
242,242,Debit Card,Completed,2017-06-07,TXN-00000242,177.23,2026-08-06 01:41:39.368897
243,243,Debit Card,Completed,2017-06-04,TXN-00000243,4.04,2026-08-06 01:41:39.368897
244,244,Wallet,Completed,2017-06-08,TXN-00000244,7.41,2026-08-06 01:41:39.368897
245,245,UPI,Completed,2015-06-04,TXN-00000245,2001.86,2026-08-06 01:41:39.368897
246,246,Cash,Completed,2015-06-04,TXN-00000246,166.72,2026-08-06 01:41:39.368897
247,247,UPI,Completed,2015-06-05,TXN-00000247,47.88,2026-08-06 01:41:39.368897
248,248,Cash,Completed,2015-06-02,TXN-00000248,1503.25,2026-08-06 01:41:39.368897
249,249,Wallet,Completed,2015-06-03,TXN-00000249,25.92,2026-08-06 01:41:39.368897
250,250,Cash,Completed,2017-12-10,TXN-00000250,321.57,2026-08-06 01:41:39.368897
251,251,Cash,Completed,2017-09-14,TXN-00000251,7.61,2026-08-06 01:41:39.368897
252,252,Credit Card,Completed,2017-09-13,TXN-00000252,3347.37,2026-08-06 01:41:39.368897
253,253,Wallet,Completed,2017-12-13,TXN-00000253,80.58,2026-08-06 01:41:39.368897
254,254,Wallet,Completed,2017-12-13,TXN-00000254,361.92,2026-08-06 01:41:39.368897
255,255,Wallet,Pending,2016-11-28,TXN-00000255,12.13,2026-08-06 01:41:39.368897
256,256,Debit Card,Completed,2016-12-01,TXN-00000256,82.37,2026-08-06 01:41:39.368897
257,257,Debit Card,Completed,2016-11-28,TXN-00000257,53.92,2026-08-06 01:41:39.368897
258,258,Debit Card,Completed,2016-12-01,TXN-00000258,647.9,2026-08-06 01:41:39.368897
259,259,Debit Card,Completed,2018-12-02,TXN-00000259,20.37,2026-08-06 01:41:39.368897
260,260,UPI,Completed,2018-12-01,TXN-00000260,221.55,2026-08-06 01:41:39.368897
261,261,UPI,Completed,2018-12-05,TXN-00000261,17.52,2026-08-06 01:41:39.368897
262,262,Cash,Completed,2018-06-08,TXN-00000262,1.62,2026-08-06 01:41:39.368897
263,263,UPI,Completed,2015-09-21,TXN-00000263,3059.98,2026-08-06 01:41:39.368897
264,264,Debit Card,Completed,2015-09-21,TXN-00000264,2519.96,2026-08-06 01:41:39.368897
265,265,Wallet,Pending,2017-06-06,TXN-00000265,328.22,2026-08-06 01:41:39.368897
266,266,Debit Card,Pending,2016-11-14,TXN-00000266,79.9,2026-08-06 01:41:39.368897
267,267,Wallet,Completed,2018-06-18,TXN-00000267,14.02,2026-08-06 01:41:39.368897
268,268,Net Banking,Completed,2017-01-26,TXN-00000268,7.56,2026-08-06 01:41:39.368897
269,269,Credit Card,Completed,2018-12-09,TXN-00000269,37.21,2026-08-06 01:41:39.368897
270,270,UPI,Completed,2018-12-10,TXN-00000270,57.58,2026-08-06 01:41:39.368897
271,271,Wallet,Completed,2019-01-01,TXN-00000271,725.84,2026-08-06 01:41:39.368897
272,272,Credit Card,Completed,2016-08-03,TXN-00000272,209.93,2026-08-06 01:41:39.368897
273,273,Debit Card,Completed,2016-08-03,TXN-00000273,5.28,2026-08-06 01:41:39.368897
274,274,Net Banking,Completed,2016-07-30,TXN-00000274,10.92,2026-08-06 01:41:39.368897
275,275,Net Banking,Completed,2018-09-20,TXN-00000275,8.82,2026-08-06 01:41:39.368897
276,276,Wallet,Completed,2018-09-20,TXN-00000276,5.98,2026-08-06 01:41:39.368897
277,277,Credit Card,Completed,2018-10-17,TXN-00000277,11.65,2026-08-06 01:41:39.368897
278,278,Cash,Completed,2018-10-17,TXN-00000278,18.18,2026-08-06 01:41:39.368897
279,279,Cash,Completed,2018-10-16,TXN-00000279,59.71,2026-08-06 01:41:39.368897
280,280,UPI,Completed,2018-10-16,TXN-00000280,24.84,2026-08-06 01:41:39.368897
281,281,UPI,Completed,2016-09-29,TXN-00000281,2.08,2026-08-06 01:41:39.368897
282,282,Credit Card,Pending,2016-09-28,TXN-00000282,1114.4,2026-08-06 01:41:39.368897
283,283,Wallet,Completed,2016-11-06,TXN-00000283,1038.84,2026-08-06 01:41:39.368897
284,284,UPI,Completed,2016-09-30,TXN-00000284,141.76,2026-08-06 01:41:39.368897
285,285,Net Banking,Completed,2016-09-27,TXN-00000285,239.8,2026-08-06 01:41:39.368897
286,286,UPI,Completed,2016-09-30,TXN-00000286,31.1,2026-08-06 01:41:39.368897
287,287,Cash,Completed,2017-12-18,TXN-00000287,254.06,2026-08-06 01:41:39.368897
288,288,Wallet,Completed,2017-12-19,TXN-00000288,194.53,2026-08-06 01:41:39.368897
